CSD,Period,IndicatorSummaryDescription,Count
Special Area No. 3,2006,Pigs (number of),0
Special Area No. 3,2011,Pigs (number of),0
Special Area No. 3,2016,Pigs (number of),0
Special Area No. 3,2021,Pigs (number of),0
Special Area No. 4,2001,Pigs (number of),0
Special Area No. 4,2006,Pigs (number of),0
Special Area No. 4,2011,Pigs (number of),0
Special Area No. 4,2016,Pigs (number of),0
Special Area No. 4,2021,Pigs (number of),0
Vulcan County,2001,Pigs (number of),0
Vulcan County,2006,Pigs (number of),68745
Vulcan County,2011,Pigs (number of),57764
Vulcan County,2016,Pigs (number of),86773
Vulcan County,2021,Pigs (number of),51644
Foothills County,2001,Pigs (number of),0
Foothills County,2006,Pigs (number of),0
Foothills County,2011,Pigs (number of),0
Foothills County,2016,Pigs (number of),0
Foothills County,2021,Pigs (number of),0
Rocky View County,2001,Pigs (number of),0
Rocky View County,2006,Pigs (number of),37625
Rocky View County,2011,Pigs (number of),17182
Rocky View County,2016,Pigs (number of),37400
Rocky View County,2021,Pigs (number of),23190
Calgary,2011,Pigs (number of),0
Calgary,2001,Pigs (number of),0
Calgary,2006,Pigs (number of),0
Calgary,2016,Pigs (number of),0
Calgary,2021,Pigs (number of),0
Mountain View County,2001,Pigs (number of),0
Mountain View County,2011,Pigs (number of),0
Mountain View County,2016,Pigs (number of),0
Mountain View County,2021,Pigs (number of),0
Mountain View County,2006,Pigs (number of),12938
Provost No. 52,2001,Pigs (number of),0
Provost No. 52,2006,Pigs (number of),0
Provost No. 52,2011,Pigs (number of),0
Provost No. 52,2016,Pigs (number of),0
Provost No. 52,2021,Pigs (number of),0
Smoky River No. 130,2001,Pigs (number of),0
Smoky River No. 130,2006,Pigs (number of),0
Smoky River No. 130,2011,Pigs (number of),0
Smoky River No. 130,2016,Pigs (number of),0
Smoky River No. 130,2021,Pigs (number of),89037
Vermilion River County,2021,Pigs (number of),39123
Vermilion River County,2001,Pigs (number of),0
Vermilion River County,2006,Pigs (number of),34702
Vermilion River County,2011,Pigs (number of),19480
Vermilion River County,2016,Pigs (number of),0
Northern Sunrise County,2001,Pigs (number of),0
Northern Sunrise County,2006,Pigs (number of),0
Northern Sunrise County,2011,Pigs (number of),0
Northern Sunrise County,2016,Pigs (number of),0
Northern Sunrise County,2021,Pigs (number of),0
Big Lakes County,2001,Pigs (number of),0
Big Lakes County,2006,Pigs (number of),2181
Big Lakes County,2011,Pigs (number of),2855
Big Lakes County,2021,Pigs (number of),0
Big Lakes County,2016,Pigs (number of),76
Lac Ste. Anne County,2006,Pigs (number of),12612
Lac Ste. Anne County,2001,Pigs (number of),0
Lac Ste. Anne County,2011,Pigs (number of),0
Lac Ste. Anne County,2016,Pigs (number of),0
Lac Ste. Anne County,2021,Pigs (number of),0
Birch Hills County,2001,Pigs (number of),0
Birch Hills County,2006,Pigs (number of),0
Birch Hills County,2011,Pigs (number of),23621
Birch Hills County,2016,Pigs (number of),16829
Birch Hills County,2021,Pigs (number of),20081
Spirit River No. 133,2016,Pigs (number of),16
Spirit River No. 133,2001,Pigs (number of),0
Spirit River No. 133,2006,Pigs (number of),0
Spirit River No. 133,2011,Pigs (number of),0
Spirit River No. 133,2021,Pigs (number of),0
Saddle Hills County,2001,Pigs (number of),0
Saddle Hills County,2006,Pigs (number of),0
Saddle Hills County,2016,Pigs (number of),0
Saddle Hills County,2021,Pigs (number of),0
Saddle Hills County,2011,Pigs (number of),634
Fairview No. 136,2021,Pigs (number of),3632
Fairview No. 136,2001,Pigs (number of),0
Fairview No. 136,2006,Pigs (number of),13702
Fairview No. 136,2011,Pigs (number of),0
Fairview No. 136,2016,Pigs (number of),0
Brazeau County,2001,Pigs (number of),0
Brazeau County,2006,Pigs (number of),0
Brazeau County,2011,Pigs (number of),817
Brazeau County,2021,Pigs (number of),0
Brazeau County,2016,Pigs (number of),74
Parkland County,2016,Pigs (number of),123
Parkland County,2001,Pigs (number of),0
Parkland County,2006,Pigs (number of),1700
Parkland County,2011,Pigs (number of),0
Parkland County,2021,Pigs (number of),0
Strathcona County,2001,Pigs (number of),0
Strathcona County,2006,Pigs (number of),0
Strathcona County,2011,Pigs (number of),0
