CSD,Period,"Apartment, less than 5 stories (Count)","Apartment, 5 or more stories (Count)","Apartment, duplex (Count)",Movable dwelling (Count),Other attached dwelling (Count),Row house (Count),Semi-detached house (Count),Single-detached house (Count),Key
Clive,2001,0,0,0,70,5,0,0,120,Clive2001
Clive,2006,0,0,0,75,0,0,0,130,Clive2006
Clive,2011,0,0,0,75,0,0,5,170,Clive2011
Clive,2016,0,0,5,100,0,0,5,180,Clive2016
Clive,2021,0,0,0,85,10,0,0,235,Clive2021
Clyde,2001,10,0,0,0,0,0,0,170,Clyde2001
Clyde,2006,0,0,0,50,0,10,0,120,Clyde2006
Clyde,2011,0,0,0,70,0,15,5,115,Clyde2011
Clyde,2016,0,0,0,55,0,0,0,120,Clyde2016
Clyde,2021,0,0,0,65,10,0,0,100,Clyde2021
Coaldale,2001,50,0,20,0,5,90,90,1825,Coaldale2001
Coaldale,2006,110,0,25,120,15,80,75,1820,Coaldale2006
Coaldale,2011,130,0,35,230,5,105,120,2125,Coaldale2011
Coaldale,2016,130,0,50,270,0,115,120,2320,Coaldale2016
Coaldale,2021,170,0,50,265,455,120,105,2525,Coaldale2021
Coalhurst,2001,0,0,5,135,0,5,15,345,Coalhurst2001
Coalhurst,2006,0,0,0,0,10,0,0,520,Coalhurst2006
Coalhurst,2011,0,0,5,125,0,15,20,550,Coalhurst2011
Coalhurst,2016,0,0,5,100,0,60,40,735,Coalhurst2016
Coalhurst,2021,0,0,20,80,150,80,50,795,Coalhurst2021
Cochrane,2001,185,0,5,30,5,205,525,2930,Cochrane2001
Cochrane,2006,390,0,35,30,10,215,730,3425,Cochrane2006
Cochrane,2011,675,5,70,0,0,395,875,4505,Cochrane2011
Cochrane,2016,1015,0,90,0,10,1160,1345,6140,Cochrane2016
Cochrane,2021,1215,0,110,0,4855,1780,1740,7225,Cochrane2021
Cold Lake,2001,315,0,40,175,5,205,655,2605,Cold Lake2001
Cold Lake,2006,420,0,20,15,50,125,495,3180,Cold Lake2006
Cold Lake,2011,545,0,35,90,35,175,665,3605,Cold Lake2011
Cold Lake,2016,700,0,30,300,0,245,580,3740,Cold Lake2016
Cold Lake,2021,855,0,55,275,1825,230,680,4015,Cold Lake2021
Cold Lake 149,2001,0,0,0,20,0,0,5,105,Cold Lake 1492001
Cold Lake 149,2006,0,0,0,0,0,0,0,120,Cold Lake 1492006
Cold Lake 149,2011,0,0,0,25,0,0,0,155,Cold Lake 1492011
Cold Lake 149,2016,0,0,5,0,0,0,0,205,Cold Lake 1492016
Cold Lake 149,2021,0,0,0,25,10,0,10,195,Cold Lake 1492021
Cold Lake 149A,2006,0,0,10,0,0,0,0,10,Cold Lake 149A2006
Cold Lake 149A,2011,0,0,0,0,0,0,0,15,Cold Lake 149A2011
Cold Lake 149A,2016,0,0,0,0,0,0,0,20,Cold Lake 149A2016
Cold Lake 149A,2021,0,0,0,0,0,0,0,25,Cold Lake 149A2021
Cold Lake 149B,2001,0,0,0,5,0,0,0,25,Cold Lake 149B2001
Cold Lake 149B,2006,0,0,0,0,0,0,0,30,Cold Lake 149B2006
Cold Lake 149B,2011,0,0,0,10,0,0,0,35,Cold Lake 149B2011
Cold Lake 149B,2016,0,0,0,0,0,0,0,45,Cold Lake 149B2016
Cold Lake 149B,2021,0,0,0,10,0,0,0,45,Cold Lake 149B2021
Consort,2001,0,0,0,35,0,5,5,220,Consort2001
Consort,2006,0,0,0,50,0,15,0,210,Consort2006
Consort,2011,0,0,0,45,0,15,5,215,Consort2011
Consort,2016,0,0,0,30,5,0,5,235,Consort2016
Consort,2021,0,0,0,55,15,10,0,200,Consort2021
Coronation,2001,0,0,25,75,0,15,0,265,Coronation2001
Coronation,2006,30,0,0,0,0,0,10,390,Coronation2006
Coronation,2011,20,0,0,75,5,5,10,275,Coronation2011
Coronation,2016,35,0,0,65,5,0,10,280,Coronation2016
Coronation,2021,25,0,0,75,50,0,0,280,Coronation2021
Coutts,2001,10,0,0,10,0,0,0,115,Coutts2001
Coutts,2006,10,0,0,0,0,0,0,110,Coutts2006
Coutts,2011,5,0,0,10,0,5,5,105,Coutts2011
Coutts,2016,5,0,5,10,5,0,0,100,Coutts2016
Coutts,2021,0,0,0,0,10,0,0,110,Coutts2021
Cowley,2001,5,0,0,30,0,0,0,70,Cowley2001
Cowley,2006,0,0,0,35,0,0,0,60,Cowley2006
Cowley,2011,5,0,0,0,0,0,0,100,Cowley2011
Cowley,2016,5,0,0,30,0,0,0,60,Cowley2016
Cowley,2021,10,0,0,0,10,0,0,110,Cowley2021
Cremona,2001,0,0,15,30,0,0,0,115,Cremona2001
Cremona,2006,15,0,10,45,0,0,0,125,Cremona2006
Cremona,2011,5,0,10,40,0,0,0,145,Cremona2011
Cremona,2016,15,0,0,45,0,0,0,130,Cremona2016
Cremona,2021,0,0,0,50,15,0,0,130,Cremona2021
Crossfield,2001,10,0,5,75,0,25,45,640,Crossfield2001
Crossfield,2006,45,0,10,0,0,0,80,810,Crossfield2006
Crossfield,2011,60,0,0,80,0,0,75,790,Crossfield2011
Crossfield,2016,70,0,5,75,5,5,110,835,Crossfield2016
Crossfield,2021,50,0,10,80,195,10,125,1045,Crossfield2021
Crowsnest Pass,2001,135,0,5,135,30,30,15,2330,Crowsnest Pass2001
Crowsnest Pass,2006,140,15,10,50,20,20,10,2370,Crowsnest Pass2006
Crowsnest Pass,2011,125,5,20,180,10,30,35,2190,Crowsnest Pass2011
Crowsnest Pass,2016,110,0,15,195,10,55,10,2165,Crowsnest Pass2016
Crowsnest Pass,2021,100,0,0,180,255,100,35,2320,Crowsnest Pass2021
Crystal Springs,2001,0,0,0,0,0,0,0,40,Crystal Springs2001
Crystal Springs,2016,0,0,0,0,0,0,0,25,Crystal Springs2016
Crystal Springs,2021,0,0,0,0,0,0,0,45,Crystal Springs2021
Cypress County,2001,10,0,0,185,0,5,5,1835,Cypress County2001
Cypress County,2006,15,0,0,200,0,0,10,2135,Cypress County2006
Cypress County,2011,5,0,5,200,5,0,25,2295,Cypress County2011
Cypress County,2016,5,0,5,220,0,0,25,2430,Cypress County2016
Cypress County,2021,0,0,0,225,10,0,10,2420,Cypress County2021
Czar,2001,0,0,0,15,0,0,5,70,Czar2001
Czar,2006,0,0,0,15,0,0,0,60,Czar2006
Czar,2011,0,0,0,15,0,5,0,55,Czar2011
Czar,2016,0,0,0,10,0,5,0,70,Czar2016
Czar,2021,0,0,0,0,0,0,0,80,Czar2021
Daysland,2001,5,0,5,15,0,0,15,265,Daysland2001
Daysland,2006,10,0,0,25,0,0,25,265,Daysland2006
Daysland,2011,10,0,0,30,0,0,20,270,Daysland2011
Daysland,2016,5,0,0,0,0,0,20,300,Daysland2016
Daysland,2021,10,0,0,40,10,0,0,295,Daysland2021
Delburne,2001,10,0,0,35,10,5,5,220,Delburne2001
Delburne,2006,0,0,0,0,0,25,10,275,Delburne2006
Delburne,2011,20,0,5,10,5,0,10,300,Delburne2011
Delburne,2016,10,0,5,50,10,15,5,290,Delburne2016
Delburne,2021,0,0,15,60,45,15,0,270,Delburne2021
Delia,2001,0,0,0,15,0,5,0,70,Delia2001
Delia,2006,10,0,0,0,0,0,0,85,Delia2006
Delia,2011,5,0,0,0,0,0,0,90,Delia2011
Delia,2016,5,0,0,25,0,0,0,70,Delia2016
Delia,2021,0,0,0,10,0,0,0,50,Delia2021
Desmarais,2016,15,0,5,25,0,0,5,5,Desmarais2016
Desmarais,2021,15,0,0,10,35,20,0,10,Desmarais2021
Devon,2001,180,0,0,0,0,100,85,1380,Devon2001
Devon,2006,265,0,0,0,0,105,115,1810,Devon2006
Devon,2011,200,0,0,10,0,145,145,1885,Devon2011
Devon,2016,195,0,10,0,0,145,145,1920,Devon2016
Devon,2021,230,0,0,0,540,140,165,1960,Devon2021
Dewberry,2001,0,0,0,5,0,5,0,75,Dewberry2001
Dewberry,2006,10,0,0,20,0,0,0,60,Dewberry2006
Dewberry,2011,0,0,0,25,0,5,0,60,Dewberry2011
Dewberry,2016,0,0,0,20,0,10,0,65,Dewberry2016
Didsbury,2001,70,0,5,100,5,120,95,1070,Didsbury2001
Didsbury,2006,105,0,30,0,10,125,105,1285,Didsbury2006
Didsbury,2011,70,0,55,0,5,95,175,1520,Didsbury2011
Didsbury,2016,115,0,65,95,10,160,130,1455,Didsbury2016
Didsbury,2021,85,0,0,110,470,165,210,1465,Didsbury2021
Dog Head 218,2001,0,0,0,0,0,0,0,35,Dog Head 2182001
Dog Head 218,2011,0,0,0,0,0,0,0,45,Dog Head 2182011
Dog Head 218,2016,0,0,0,0,0,0,5,35,Dog Head 2182016
Dog Head 218,2021,0,0,0,0,10,0,10,35,Dog Head 2182021
Donalda,2001,0,0,0,25,0,0,0,70,Donalda2001
Donalda,2006,0,0,0,30,0,0,0,80,Donalda2006
Donalda,2011,0,0,0,35,0,0,5,80,Donalda2011
Donalda,2016,0,0,0,35,0,0,5,80,Donalda2016
Donalda,2021,0,0,0,35,0,0,0,85,Donalda2021
Donnelly,2001,15,0,0,5,5,10,0,130,Donnelly2001
Donnelly,2006,20,0,0,15,0,0,0,95,Donnelly2006
Donnelly,2011,20,0,0,30,0,5,0,85,Donnelly2011
Donnelly,2016,25,0,5,30,0,0,0,90,Donnelly2016
Donnelly,2021,45,0,0,35,45,0,0,115,Donnelly2021
Drayton Valley,2001,285,0,45,135,0,40,80,1535,Drayton Valley2001
Drayton Valley,2006,350,10,20,340,0,25,150,1645,Drayton Valley2006
Drayton Valley,2011,430,0,15,225,5,60,185,1820,Drayton Valley2011
Drayton Valley,2016,400,0,25,295,0,65,195,1800,Drayton Valley2016
Drayton Valley,2021,480,0,55,260,810,65,215,1825,Drayton Valley2021
Drift Pile River 150,2001,0,0,0,65,0,10,5,115,Drift Pile River 1502001
Drift Pile River 150,2006,20,0,10,80,0,10,10,110,Drift Pile River 1502006
Drift Pile River 150,2011,0,0,5,90,0,10,5,145,Drift Pile River 1502011
Drift Pile River 150,2016,0,0,5,85,0,15,0,155,Drift Pile River 1502016
Drift Pile River 150,2021,0,0,0,70,10,10,0,195,Drift Pile River 1502021
Drumheller,2001,305,40,5,90,5,50,120,2425,Drumheller2001
Drumheller,2006,335,0,0,85,0,25,175,2450,Drumheller2006
Drumheller,2011,350,0,45,150,5,30,145,2450,Drumheller2011
Drumheller,2016,335,5,10,160,0,70,145,2440,Drumheller2016
Drumheller,2021,375,0,10,165,595,50,155,2440,Drumheller2021
Duchess,2001,0,0,0,10,5,5,0,265,Duchess2001
Duchess,2006,0,0,0,55,0,0,0,265,Duchess2006
Duchess,2011,5,0,0,20,0,5,0,320,Duchess2011
Duchess,2016,0,0,0,70,0,10,0,290,Duchess2016
Duchess,2021,0,0,0,45,10,0,0,330,Duchess2021
Duncan's 151A,2001,0,0,0,10,0,0,0,30,Duncan's 151A2001
Duncan's 151A,2016,0,0,0,5,0,10,0,35,Duncan's 151A2016
Duncan's 151A,2021,0,0,0,10,0,0,0,30,Duncan's 151A2021
Eckville,2001,20,0,0,50,0,20,10,290,Eckville2001
Eckville,2006,0,0,0,0,0,10,15,350,Eckville2006
Eckville,2011,30,0,5,85,0,5,15,295,Eckville2011
Eckville,2016,5,0,5,105,0,30,5,290,Eckville2016
Eckville,2021,0,0,0,50,45,45,0,330,Eckville2021
Edberg,2001,0,0,0,0,0,0,0,65,Edberg2001
Edberg,2006,0,0,0,10,0,0,0,50,Edberg2006
Edberg,2011,5,0,0,15,0,0,0,55,Edberg2011
Edberg,2016,0,0,0,10,0,0,0,45,Edberg2016
Edberg,2021,0,0,0,0,0,0,0,45,Edberg2021
Eden Valley 216,2001,5,0,0,0,0,0,0,90,Eden Valley 2162001
Eden Valley 216,2006,0,0,0,0,0,0,0,65,Eden Valley 2162006
Eden Valley 216,2011,0,0,0,0,0,0,0,105,Eden Valley 2162011
Eden Valley 216,2016,0,0,0,0,0,0,0,100,Eden Valley 2162016
Eden Valley 216,2021,0,0,0,0,0,0,0,0,Eden Valley 2162021
Edgerton,2001,0,0,5,5,0,5,0,145,Edgerton2001
Edgerton,2006,15,0,0,25,0,0,0,110,Edgerton2006
Edgerton,2011,10,0,0,0,0,0,0,140,Edgerton2011
Edgerton,2016,5,0,0,30,0,0,0,145,Edgerton2016
Edgerton,2021,15,0,0,25,20,0,0,120,Edgerton2021
Edmonton,2001,61800,22890,5235,2615,200,26735,9765,136115,Edmonton2001
Edmonton,2006,69730,26410,8460,2085,155,28730,12550,149605,Edmonton2006
Edmonton,2011,74765,25515,8420,2835,180,31250,16025,165760,Edmonton2011
Edmonton,2016,83775,25785,10015,2650,95,36075,22215,180215,Edmonton2016
Edmonton,2021,91250,29385,10100,1960,168550,38525,28590,196510,Edmonton2021
Edson,2001,475,0,15,390,5,160,30,1750,Edson2001
Edson,2006,495,0,10,420,10,135,70,1965,Edson2006
Edson,2011,650,0,20,425,0,180,80,2030,Edson2011
Edson,2016,585,0,45,495,15,160,75,1980,Edson2016
Edson,2021,600,0,35,475,855,160,60,2050,Edson2021
Elk Point,2001,125,0,5,10,0,0,5,435,Elk Point2001
Elk Point,2006,105,0,10,55,0,0,0,395,Elk Point2006
Elk Point,2011,95,0,0,30,0,15,0,425,Elk Point2011
Elk Point,2016,30,0,5,55,0,20,0,420,Elk Point2016
Elk Point,2021,95,0,0,0,125,20,0,485,Elk Point2021
Elnora,2001,5,0,0,15,0,10,0,95,Elnora2001
Elnora,2006,0,0,0,20,0,10,0,85,Elnora2006
Elnora,2011,0,0,0,25,0,5,0,105,Elnora2011
Elnora,2016,0,0,5,20,0,5,0,115,Elnora2016
Elnora,2021,0,0,15,45,20,0,0,110,Elnora2021
Empress,2001,0,0,5,5,0,0,0,75,Empress2001
Empress,2006,0,0,0,0,0,0,0,70,Empress2006
Empress,2011,0,0,0,10,0,0,0,60,Empress2011
Empress,2016,0,0,0,0,5,0,0,50,Empress2016
Empress,2021,0,0,0,0,0,0,0,75,Empress2021
Ermineskin 138,2006,0,0,0,0,0,0,0,370,Ermineskin 1382006
Ermineskin 138,2011,0,0,0,5,0,0,0,355,Ermineskin 1382011
Ermineskin 138,2016,0,0,0,5,0,15,0,435,Ermineskin 1382016
Ermineskin 138,2021,0,0,0,0,30,15,10,455,Ermineskin 1382021
Fairview,2001,95,0,30,45,0,5,15,1050,Fairview2001
Fairview,2006,0,0,0,150,0,0,0,1145,Fairview2006
Fairview,2011,105,0,35,150,5,5,15,950,Fairview2011
Fairview,2016,95,0,30,155,0,15,25,930,Fairview2016
Fairview,2021,35,0,35,155,115,0,35,930,Fairview2021
Fairview No. 136,2001,0,0,0,55,0,0,0,565,Fairview No. 1362001
Fairview No. 136,2006,0,0,0,90,0,0,0,425,Fairview No. 1362006
Fairview No. 136,2011,5,0,5,10,0,0,0,600,Fairview No. 1362011
Fairview No. 136,2016,0,0,0,95,5,0,0,520,Fairview No. 1362016
Fairview No. 136,2021,0,0,0,80,0,0,0,530,Fairview No. 1362021
Falher,2001,75,0,5,75,0,0,20,265,Falher2001
Falher,2006,75,0,0,80,15,0,30,230,Falher2006
Falher,2011,40,55,0,80,0,0,25,295,Falher2011
Falher,2016,80,0,5,75,0,5,20,260,Falher2016
Falher,2021,65,0,0,70,85,0,15,250,Falher2021
Ferintosh,2001,10,0,0,15,0,0,0,60,Ferintosh2001
Ferintosh,2006,0,0,0,20,0,0,0,45,Ferintosh2006
Ferintosh,2011,0,0,0,30,0,0,0,55,Ferintosh2011
Ferintosh,2016,0,0,0,25,0,5,0,70,Ferintosh2016
Flagstaff County,2001,0,0,0,50,0,0,5,1365,Flagstaff County2001
Flagstaff County,2006,0,10,0,80,0,0,10,1295,Flagstaff County2006
Flagstaff County,2011,0,0,0,70,5,10,0,1250,Flagstaff County2011
Flagstaff County,2016,0,0,0,80,5,10,5,1280,Flagstaff County2016
Flagstaff County,2021,0,0,0,100,15,0,0,1265,Flagstaff County2021
Foothills No. 31,2001,5,0,5,225,5,10,140,5380,Foothills No. 312001
Foothills No. 31,2006,20,0,0,195,10,10,180,6540,Foothills No. 312006
Foothills No. 31,2011,20,0,5,195,0,0,170,7255,Foothills No. 312011
Foothills No. 31,2016,5,0,15,180,10,5,215,7730,Foothills No. 312016
Foothills No. 31,2021,15,0,0,205,265,0,245,7975,Foothills No. 312021
Foremost,2001,5,0,0,5,5,0,5,195,Foremost2001
Foremost,2006,0,0,0,0,0,10,10,190,Foremost2006
Foremost,2011,5,0,0,5,0,5,5,200,Foremost2011
Foremost,2016,5,0,0,0,0,5,5,215,Foremost2016
Foremost,2021,10,0,0,0,25,0,0,185,Foremost2021
Forestburg,2001,15,0,0,5,5,5,0,325,Forestburg2001
Forestburg,2006,0,0,0,15,0,0,0,330,Forestburg2006
Forestburg,2011,5,0,0,15,0,0,5,315,Forestburg2011
Forestburg,2016,5,0,0,10,0,5,0,340,Forestburg2016
Forestburg,2021,0,0,0,15,20,0,0,340,Forestburg2021
Fort Mackay,2016,0,0,0,5,0,20,5,225,Fort Mackay2016
Fort Macleod,2001,90,15,5,110,0,0,30,940,Fort Macleod2001
Fort Macleod,2006,50,15,10,105,25,10,55,950,Fort Macleod2006
Fort Macleod,2011,60,0,5,15,5,30,25,1105,Fort Macleod2011
Fort Macleod,2016,45,20,15,130,0,30,30,960,Fort Macleod2016
Fort Macleod,2021,75,20,10,110,145,25,20,1050,Fort Macleod2021
Fort Saskatchewan,2001,500,60,15,5,5,430,205,3445,Fort Saskatchewan2001
Fort Saskatchewan,2006,1000,0,40,0,10,485,280,3845,Fort Saskatchewan2006
Fort Saskatchewan,2011,1205,0,30,0,0,525,780,4795,Fort Saskatchewan2011
Fort Saskatchewan,2016,1550,0,25,0,0,525,1205,5950,Fort Saskatchewan2016
Fort Saskatchewan,2021,1750,0,30,0,3755,530,1445,6660,Fort Saskatchewan2021
Fort Vermilion 173B,2011,0,0,0,10,0,0,0,10,Fort Vermilion 173B2011
Fort Vermilion 173B,2016,0,0,0,5,0,0,0,10,Fort Vermilion 173B2016
Fort Vermilion 173B,2021,0,0,0,10,0,0,0,15,Fort Vermilion 173B2021
Forty Mile County No. 8,2001,0,0,0,40,0,0,0,770,Forty Mile County No. 82001
Forty Mile County No. 8,2006,0,0,10,15,0,0,0,860,Forty Mile County No. 82006
Forty Mile County No. 8,2011,0,0,0,15,0,0,5,800,Forty Mile County No. 82011
Forty Mile County No. 8,2016,0,0,0,40,5,0,5,820,Forty Mile County No. 82016
Forty Mile County No. 8,2021,0,0,0,50,0,0,0,810,Forty Mile County No. 82021
Fox Creek,2001,160,0,0,145,0,10,10,470,Fox Creek2001
Fox Creek,2006,135,0,0,0,10,55,10,650,Fox Creek2006
Fox Creek,2011,105,0,5,185,0,30,10,440,Fox Creek2011
Fox Creek,2016,120,0,0,165,0,35,5,450,Fox Creek2016
Fox Creek,2021,45,0,0,160,70,15,10,430,Fox Creek2021
Fox Lake 162,2001,0,0,0,10,0,5,10,190,Fox Lake 1622001
Fox Lake 162,2006,0,0,0,30,0,15,10,230,Fox Lake 1622006
Fox Lake 162,2011,0,0,0,35,0,20,15,235,Fox Lake 1622011
Fox Lake 162,2016,0,0,5,0,0,15,45,240,Fox Lake 1622016
Fox Lake 162,2021,0,0,0,80,25,15,10,265,Fox Lake 1622021
Gadsby,2001,0,0,0,0,0,0,0,15,Gadsby2001
Gadsby,2016,0,0,0,10,0,0,0,10,Gadsby2016
Ghost Lake,2001,0,0,0,0,0,0,0,30,Ghost Lake2001
Ghost Lake,2011,0,0,0,0,0,0,0,35,Ghost Lake2011
Ghost Lake,2016,0,0,0,0,0,0,0,35,Ghost Lake2016
Ghost Lake,2021,0,0,0,0,0,0,0,40,Ghost Lake2021
Gibbons,2001,35,0,0,55,0,5,10,790,Gibbons2001
Gibbons,2006,30,10,0,65,0,10,25,815,Gibbons2006
Gibbons,2011,35,0,15,50,0,0,20,960,Gibbons2011
Gibbons,2016,60,0,0,40,0,10,20,1010,Gibbons2016
Gibbons,2021,90,0,0,55,120,25,15,1070,Gibbons2021
Girouxville,2001,5,0,0,25,0,10,0,95,Girouxville2001
Girouxville,2006,0,0,0,15,0,0,0,100,Girouxville2006
Girouxville,2011,5,0,0,25,0,15,0,85,Girouxville2011
Girouxville,2016,5,0,0,25,0,10,0,70,Girouxville2016
Girouxville,2021,0,0,0,20,15,15,0,75,Girouxville2021
Glendon,2001,5,0,0,20,5,25,0,140,Glendon2001
Glendon,2006,10,0,0,20,0,15,0,125,Glendon2006
Glendon,2011,10,0,0,15,0,35,0,145,Glendon2011
Glendon,2016,5,0,0,20,5,20,5,150,Glendon2016
Glendon,2021,0,0,0,0,0,0,0,145,Glendon2021
Glenwood,2001,0,0,0,0,0,0,0,85,Glenwood2001
Glenwood,2006,0,0,0,0,0,0,0,95,Glenwood2006
Glenwood,2011,5,0,0,0,0,0,0,95,Glenwood2011
Glenwood,2016,0,0,0,5,0,5,0,100,Glenwood2016
Glenwood,2021,0,0,0,0,0,0,0,90,Glenwood2021
Golden Days,2001,0,0,0,0,0,0,0,55,Golden Days2001
Golden Days,2006,0,0,0,0,0,0,0,95,Golden Days2006
Golden Days,2011,0,0,0,0,0,0,0,70,Golden Days2011
Golden Days,2016,0,0,0,0,0,0,0,75,Golden Days2016
Golden Days,2021,0,0,0,0,0,0,0,95,Golden Days2021
Grande Cache,2001,140,0,5,85,5,145,10,950,Grande Cache2001
Grande Cache,2006,125,0,0,125,0,150,25,955,Grande Cache2006
Grande Cache,2011,205,0,10,170,0,150,40,985,Grande Cache2011
Grande Cache,2016,110,0,5,105,0,75,80,915,Grande Cache2016
Grande Prairie,2001,2745,240,180,250,25,550,700,8700,Grande Prairie2001
Grande Prairie,2006,3440,130,410,350,0,715,1195,11085,Grande Prairie2006
Grande Prairie,2011,4100,135,475,545,5,915,1370,13645,Grande Prairie2011
Grande Prairie,2016,4060,165,925,915,0,1075,1520,15010,Grande Prairie2016
Grande Prairie,2021,4580,155,1090,830,8555,1075,1805,15280,Grande Prairie2021
Grande Prairie County No. 1,2001,20,0,10,440,40,0,50,4695,Grande Prairie County No. 12001
Grande Prairie County No. 1,2006,0,0,30,870,15,15,35,5265,Grande Prairie County No. 12006
Grande Prairie County No. 1,2011,5,0,0,1780,0,75,55,5275,Grande Prairie County No. 12011
Grande Prairie County No. 1,2016,10,0,10,1890,5,60,60,5645,Grande Prairie County No. 12016
Grande Prairie County No. 1,2021,0,0,80,1615,220,70,50,6515,Grande Prairie County No. 12021
Grandview,2001,0,0,0,0,0,0,0,45,Grandview2001
Grandview,2006,0,0,0,0,0,0,0,60,Grandview2006
Grandview,2011,0,0,0,0,0,0,0,55,Grandview2011
Grandview,2016,0,0,0,0,0,0,0,60,Grandview2016
Grandview,2021,0,0,0,0,0,0,0,65,Grandview2021
Granum,2001,15,0,0,5,5,0,0,160,Granum2001
Granum,2006,0,0,0,10,0,0,0,170,Granum2006
Granum,2011,10,0,0,15,0,0,0,180,Granum2011
Granum,2016,0,0,10,0,5,0,5,190,Granum2016
Greenview No. 16,2001,0,0,0,130,5,5,0,1730,Greenview No. 162001
Greenview No. 16,2006,0,0,10,290,0,0,0,1615,Greenview No. 162006
Greenview No. 16,2011,0,0,0,350,0,5,0,1605,Greenview No. 162011
Greenview No. 16,2016,0,5,0,245,0,5,5,1805,Greenview No. 162016
Greenview No. 16,2021,135,0,0,350,270,65,70,2605,Greenview No. 162021
Gregoire Lake 176,2001,0,0,0,15,0,0,0,20,Gregoire Lake 1762001
Gregoire Lake 176,2006,0,0,0,0,0,0,0,25,Gregoire Lake 1762006
Gregoire Lake 176,2011,0,0,0,25,0,10,0,55,Gregoire Lake 1762011
Gregoire Lake 176,2016,0,0,0,0,0,0,0,65,Gregoire Lake 1762016
Gregoire Lake 176,2021,0,0,0,50,10,0,0,25,Gregoire Lake 1762021
Gregoire Lake 176A,2001,0,0,0,0,0,5,0,30,Gregoire Lake 176A2001
Gregoire Lake 176A,2006,0,0,0,10,0,0,0,25,Gregoire Lake 176A2006
Gregoire Lake 176A,2016,0,0,0,0,0,0,5,40,Gregoire Lake 176A2016
Gregoire Lake 176A,2021,0,0,0,15,0,0,0,35,Gregoire Lake 176A2021
Grimshaw,2001,15,0,5,65,15,30,25,775,Grimshaw2001
Grimshaw,2006,50,0,0,30,0,40,50,820,Grimshaw2006
Grimshaw,2011,15,0,10,115,5,40,50,760,Grimshaw2011
Grimshaw,2016,35,0,10,110,5,50,70,790,Grimshaw2016
Grimshaw,2021,20,0,0,90,180,65,90,815,Grimshaw2021
Gull Lake,2001,0,0,0,0,0,0,0,65,Gull Lake2001
Gull Lake,2006,0,0,0,0,0,0,0,85,Gull Lake2006
Gull Lake,2011,0,0,0,0,0,0,0,55,Gull Lake2011
Gull Lake,2016,0,0,0,0,0,0,0,75,Gull Lake2016
Gull Lake,2021,0,0,0,0,0,0,0,100,Gull Lake2021
Half Moon Bay,2016,0,0,0,0,0,0,0,20,Half Moon Bay2016
Half Moon Bay,2021,0,0,0,0,0,0,0,25,Half Moon Bay2021
Halkirk,2001,0,0,0,10,0,0,0,45,Halkirk2001
Halkirk,2006,0,0,0,25,0,0,0,25,Halkirk2006
Halkirk,2011,0,0,0,15,5,0,0,40,Halkirk2011
Halkirk,2016,0,0,0,10,5,0,0,40,Halkirk2016
Halkirk,2021,0,0,0,0,0,0,0,35,Halkirk2021
Hanna,2001,110,0,10,50,10,20,90,955,Hanna2001
Hanna,2006,135,0,0,20,0,50,135,905,Hanna2006
Hanna,2011,95,0,30,45,5,30,55,945,Hanna2011
Hanna,2016,60,0,0,40,5,60,40,935,Hanna2016
Hanna,2021,35,0,0,0,135,55,45,970,Hanna2021
Hardisty,2001,30,0,0,25,0,0,5,250,Hardisty2001
Hardisty,2006,20,0,0,45,0,0,10,230,Hardisty2006
Hardisty,2011,20,0,0,20,0,0,0,225,Hardisty2011
Hardisty,2016,15,0,0,35,0,0,5,205,Hardisty2016
Hardisty,2021,10,0,0,30,10,0,0,190,Hardisty2021
Hay Lake 209,2001,0,0,0,15,0,0,0,205,Hay Lake 2092001
Hay Lake 209,2006,10,10,0,50,0,0,0,195,Hay Lake 2092006
Hay Lake 209,2011,0,0,0,25,0,5,15,240,Hay Lake 2092011
Hay Lake 209,2016,0,0,5,5,0,20,0,220,Hay Lake 2092016
Hay Lake 209,2021,0,0,0,10,20,15,0,245,Hay Lake 2092021
Hay Lakes,2001,0,0,0,0,0,0,0,120,Hay Lakes2001
Hay Lakes,2006,0,0,0,0,0,0,15,120,Hay Lakes2006
Hay Lakes,2011,0,0,0,5,0,0,5,155,Hay Lakes2011
Hay Lakes,2016,0,0,0,0,0,0,10,180,Hay Lakes2016
Hay Lakes,2021,0,0,0,15,15,0,10,140,Hay Lakes2021
Heart Lake 167,2001,0,0,0,15,0,0,0,15,Heart Lake 1672001
Heart Lake 167,2011,0,0,0,10,0,0,0,35,Heart Lake 1672011
Heart Lake 167,2016,0,0,0,5,0,0,0,40,Heart Lake 1672016
Heart Lake 167,2021,0,0,0,10,0,0,0,40,Heart Lake 1672021
Heisler,2001,5,0,0,5,5,0,0,65,Heisler2001
Heisler,2006,0,0,0,10,10,0,0,60,Heisler2006
Heisler,2011,5,0,0,10,0,0,0,60,Heisler2011
Heisler,2016,0,0,0,5,5,5,0,65,Heisler2016
Heisler,2021,0,0,0,0,0,0,0,60,Heisler2021
High Level,2001,160,0,30,285,5,110,20,555,High Level2001
High Level,2006,0,0,0,60,0,0,0,1305,High Level2006
High Level,2011,150,0,15,300,0,110,50,650,High Level2011
High Level,2016,125,0,35,215,5,70,40,605,High Level2016
High Level,2021,180,0,20,345,335,95,40,635,High Level2021
High Prairie,2001,145,0,35,110,5,20,45,665,High Prairie2001
High Prairie,2006,190,0,15,100,10,0,50,675,High Prairie2006
