CSD,Period,"Apartment, less than 5 stories (Count)","Apartment, 5 or more stories (Count)","Apartment, duplex (Count)",Movable dwelling (Count),Other attached dwelling (Count),Row house (Count),Semi-detached house (Count),Single-detached house (Count),Key
Barrhead County No. 11,2011,5,0,0,170,0,5,5,2020,Barrhead County No. 112011
Barrhead County No. 11,2016,0,0,0,235,5,0,0,2050,Barrhead County No. 112016
Barrhead County No. 11,2021,0,0,0,210,0,0,0,1990,Barrhead County No. 112021
Bashaw,2001,45,0,5,15,0,0,5,280,Bashaw2001
Bashaw,2006,35,0,15,15,0,0,15,255,Bashaw2006
Bashaw,2011,35,0,20,40,0,0,0,280,Bashaw2011
Bashaw,2016,40,0,5,20,5,5,15,290,Bashaw2016
Bashaw,2021,0,0,10,30,30,0,15,315,Bashaw2021
Bassano,2001,15,0,5,30,5,65,0,390,Bassano2001
Bassano,2006,0,0,0,40,0,60,0,435,Bassano2006
Bassano,2011,15,0,5,55,5,50,5,405,Bassano2011
Bassano,2016,5,0,40,50,0,25,0,415,Bassano2016
Bassano,2021,0,0,0,25,75,60,0,440,Bassano2021
Bawlf,2001,5,0,0,0,0,0,5,130,Bawlf2001
Bawlf,2006,10,0,0,15,0,0,0,115,Bawlf2006
Bawlf,2011,0,0,0,15,0,5,0,130,Bawlf2011
Bawlf,2016,0,0,0,20,0,10,5,130,Bawlf2016
Bawlf,2021,0,0,15,15,75,0,50,95,Bawlf2021
Beaumont,2001,50,0,0,0,0,20,100,1885,Beaumont2001
Beaumont,2006,65,0,10,0,0,20,95,2610,Beaumont2006
Beaumont,2011,140,0,5,0,5,220,240,3765,Beaumont2011
Beaumont,2016,280,0,15,0,5,365,400,4570,Beaumont2016
Beaumont,2021,470,0,15,0,1385,415,480,5560,Beaumont2021
Beaver County,2001,5,0,0,160,0,0,5,1745,Beaver County2001
Beaver County,2006,0,0,0,280,0,0,115,1600,Beaver County2006
Beaver County,2011,0,0,0,170,5,0,5,1930,Beaver County2011
Beaver County,2016,0,0,0,205,5,0,0,1970,Beaver County2016
Beaver County,2021,10,0,0,240,20,0,10,1920,Beaver County2021
Beaver Lake 131,2001,0,0,0,35,0,0,0,55,Beaver Lake 1312001
Beaver Lake 131,2006,0,0,0,0,0,0,0,90,Beaver Lake 1312006
Beaver Lake 131,2011,0,0,0,35,0,0,0,65,Beaver Lake 1312011
Beaver Lake 131,2016,0,0,0,30,0,0,0,75,Beaver Lake 1312016
Beaver Lake 131,2021,0,0,0,10,0,0,0,100,Beaver Lake 1312021
Beaver Ranch 163,2021,0,0,0,0,0,0,0,0,Beaver Ranch 1632021
Beaverlodge,2001,110,0,0,10,0,5,15,675,Beaverlodge2001
Beaverlodge,2006,80,0,10,155,10,40,20,610,Beaverlodge2006
Beaverlodge,2011,40,5,20,140,0,20,30,650,Beaverlodge2011
Beaverlodge,2016,60,0,5,150,0,30,20,685,Beaverlodge2016
Beaverlodge,2021,70,0,10,50,120,0,40,750,Beaverlodge2021
Beiseker,2001,20,0,0,5,5,5,10,270,Beiseker2001
Beiseker,2006,0,0,0,15,0,15,20,250,Beiseker2006
Beiseker,2011,20,0,0,20,0,20,10,260,Beiseker2011
Beiseker,2016,25,0,0,20,0,10,5,270,Beiseker2016
Beiseker,2021,15,0,0,20,25,0,0,270,Beiseker2021
Bentley,2001,25,0,5,50,0,20,10,295,Bentley2001
Bentley,2006,15,0,0,35,0,20,10,335,Bentley2006
Bentley,2011,35,0,0,5,5,15,0,385,Bentley2011
Bentley,2016,10,0,5,45,5,30,10,330,Bentley2016
Bentley,2021,20,0,0,55,60,15,20,340,Bentley2021
Berwyn,2001,0,0,0,5,0,5,0,215,Berwyn2001
Berwyn,2006,0,0,0,85,0,0,0,130,Berwyn2006
Berwyn,2011,0,0,0,70,0,5,0,150,Berwyn2011
Berwyn,2016,0,0,0,5,0,5,0,220,Berwyn2016
Berwyn,2021,0,0,0,75,0,0,0,160,Berwyn2021
Betula Beach,2021,0,0,0,0,0,0,0,0,Betula Beach2021
Big Horn 144A,2001,0,0,0,0,0,0,0,35,Big Horn 144A2001
Big Horn 144A,2006,0,0,0,0,0,0,0,35,Big Horn 144A2006
Big Horn 144A,2011,0,0,0,0,0,0,0,40,Big Horn 144A2011
Big Horn 144A,2016,0,0,0,0,0,0,0,40,Big Horn 144A2016
Big Horn 144A,2021,0,0,0,0,0,0,0,0,Big Horn 144A2021
Big Lakes County,2001,0,0,0,315,5,30,0,1575,Big Lakes County2001
Big Lakes County,2006,0,0,0,310,0,25,10,1630,Big Lakes County2006
Big Lakes County,2011,10,0,0,395,10,30,10,1690,Big Lakes County2011
Big Lakes County,2016,0,0,0,390,5,20,5,1675,Big Lakes County2016
Big Lakes County,2021,0,0,0,380,65,25,30,1560,Big Lakes County2021
Big Valley,2001,5,0,0,25,5,10,0,115,Big Valley2001
Big Valley,2006,0,0,0,20,0,0,0,150,Big Valley2006
Big Valley,2011,5,0,0,30,0,10,0,120,Big Valley2011
Big Valley,2016,0,0,0,40,0,10,0,110,Big Valley2016
Big Valley,2021,0,0,0,15,10,0,0,105,Big Valley2021
Bighorn No. 8,2001,30,0,0,10,10,0,15,470,Bighorn No. 82001
Bighorn No. 8,2006,45,0,10,25,0,10,10,425,Bighorn No. 82006
Bighorn No. 8,2011,50,0,0,10,0,10,5,465,Bighorn No. 82011
Bighorn No. 8,2016,45,0,10,15,0,15,0,465,Bighorn No. 82016
Bighorn No. 8,2021,40,0,10,10,105,40,15,525,Bighorn No. 82021
Birch Cove,2001,0,0,0,0,0,0,0,20,Birch Cove2001
Birch Cove,2011,0,0,0,0,0,0,0,20,Birch Cove2011
Birch Cove,2016,0,0,0,0,0,0,0,20,Birch Cove2016
Birch Cove,2021,0,0,0,0,0,0,0,20,Birch Cove2021
Birch Hills County,2001,10,0,0,130,5,5,0,440,Birch Hills County2001
Birch Hills County,2006,0,0,0,50,0,0,0,480,Birch Hills County2006
Birch Hills County,2011,10,0,0,105,5,0,0,395,Birch Hills County2011
Birch Hills County,2016,5,0,0,70,5,10,0,410,Birch Hills County2016
Birch Hills County,2021,0,0,0,70,10,10,0,405,Birch Hills County2021
Birchcliff,2001,0,0,0,0,0,0,0,50,Birchcliff2001
Birchcliff,2006,0,0,0,0,0,0,0,50,Birchcliff2006
Birchcliff,2011,0,0,0,0,0,0,0,40,Birchcliff2011
Birchcliff,2016,0,0,0,0,0,0,0,40,Birchcliff2016
Birchcliff,2021,0,0,0,0,0,0,0,65,Birchcliff2021
Bittern Lake,2001,0,0,0,0,0,0,0,80,Bittern Lake2001
Bittern Lake,2006,0,0,0,10,0,0,0,70,Bittern Lake2006
Bittern Lake,2011,0,0,0,5,0,0,0,80,Bittern Lake2011
Bittern Lake,2016,0,0,0,15,0,0,0,75,Bittern Lake2016
Bittern Lake,2021,0,0,0,0,0,0,0,80,Bittern Lake2021
Black Diamond,2001,15,0,5,60,0,10,25,560,Black Diamond2001
Black Diamond,2006,0,0,20,85,0,30,0,580,Black Diamond2006
Black Diamond,2011,35,0,15,80,0,45,55,715,Black Diamond2011
Black Diamond,2016,100,0,10,80,0,35,60,815,Black Diamond2016
Black Diamond,2021,120,0,15,85,250,20,90,850,Black Diamond2021
Blackfalds,2001,15,0,5,160,0,65,65,765,Blackfalds2001
Blackfalds,2006,15,0,15,0,0,175,75,1365,Blackfalds2006
Blackfalds,2011,40,0,15,140,0,270,135,1650,Blackfalds2011
Blackfalds,2016,70,0,40,160,0,415,110,2510,Blackfalds2016
Blackfalds,2021,170,0,30,145,920,510,215,2715,Blackfalds2021
Blood 148,2001,25,0,0,15,0,0,0,965,Blood 1482001
Blood 148,2006,35,0,0,10,0,0,0,1000,Blood 1482006
Blood 148,2011,0,0,5,30,0,0,5,1085,Blood 1482011
Blood 148,2016,40,0,0,35,0,20,0,1050,Blood 1482016
Blood 148,2021,30,0,0,0,75,45,0,1090,Blood 1482021
Blood 148A,2021,0,0,0,0,0,0,0,0,Blood 148A2021
Bon Accord,2001,10,0,0,0,0,55,10,425,Bon Accord2001
Bon Accord,2006,10,0,0,10,0,50,10,450,Bon Accord2006
Bon Accord,2011,0,0,0,15,0,50,10,460,Bon Accord2011
Bon Accord,2016,10,0,0,10,0,55,15,475,Bon Accord2016
Bon Accord,2021,0,0,0,15,50,45,0,495,Bon Accord2021
Bondiss,2001,0,0,0,0,0,0,0,50,Bondiss2001
Bondiss,2006,0,0,0,0,0,0,0,65,Bondiss2006
Bondiss,2011,0,0,0,10,0,0,0,50,Bondiss2011
Bondiss,2016,0,0,0,10,0,0,0,45,Bondiss2016
Bondiss,2021,0,0,0,0,0,0,0,60,Bondiss2021
Bonnyville,2001,390,0,75,120,0,60,60,1390,Bonnyville2001
Bonnyville,2006,400,10,10,130,0,100,140,1480,Bonnyville2006
Bonnyville,2011,350,0,15,160,5,80,155,1560,Bonnyville2011
Bonnyville,2016,225,0,20,185,0,50,140,1485,Bonnyville2016
Bonnyville,2021,535,0,105,120,795,20,130,1615,Bonnyville2021
Bonnyville Beach,2001,0,0,0,0,0,0,0,25,Bonnyville Beach2001
Bonnyville Beach,2011,0,0,0,0,0,0,0,35,Bonnyville Beach2011
Bonnyville Beach,2016,0,0,0,0,0,0,0,30,Bonnyville Beach2016
Bonnyville Beach,2021,0,0,0,0,0,0,0,30,Bonnyville Beach2021
Bonnyville No. 87,2001,5,0,0,375,5,5,0,2800,Bonnyville No. 872001
Bonnyville No. 87,2006,10,0,15,345,10,0,0,3115,Bonnyville No. 872006
Bonnyville No. 87,2011,5,0,0,365,5,15,100,3460,Bonnyville No. 872011
Bonnyville No. 87,2016,85,0,0,465,5,15,75,4175,Bonnyville No. 872016
Bonnyville No. 87,2021,0,0,0,430,35,20,10,4280,Bonnyville No. 872021
Botha,2001,0,0,0,5,0,0,0,60,Botha2001
Botha,2006,10,0,0,20,0,0,0,45,Botha2006
Botha,2011,0,0,0,20,0,0,0,50,Botha2011
Botha,2016,0,0,0,0,0,0,0,80,Botha2016
Bow Island,2001,25,0,0,15,5,5,40,500,Bow Island2001
Bow Island,2006,30,0,15,10,0,0,40,495,Bow Island2006
Bow Island,2011,25,0,5,30,0,15,25,540,Bow Island2011
Bow Island,2016,25,0,0,30,0,20,35,520,Bow Island2016
Bow Island,2021,0,0,40,20,95,15,35,560,Bow Island2021
Bowden,2001,45,15,10,85,0,0,15,315,Bowden2001
Bowden,2006,40,0,10,105,0,10,0,330,Bowden2006
