CSD,Period,Key,0-4 (Count of People),05-09 (Count of People),10-14 (Count of People),15-19 (Count of People),20-24 (Count of People),25-29 (Count of People),30-34 (Count of People),35-39 (Count of People),40-44 (Count of People),45-49 (Count of People),50-54 (Count of People),55-59 (Count of People),Life Expectancy (Years),Oil Wells (Count),Natural Gas Production (m^3),CH4 Equivalent (t),CO2 Equivalent (t),N2O Equivalent (t),Oats (Count),Canola (Count),Barley (Count),Durum Wheat (Count),Non-Durum Wheat (Count),Other Crops (Count),Cattle and Calves (Count),Pigs (Count),Dwelling Units (Count),"Apartment, less than 5 stories (Count)","Apartment, 5 or more stories (Count)","Apartment, duplex (Count)",Movable dwelling (Count),Other attached dwelling (Count),Row house (Count),Semi-detached house (Count),Single-detached house (Count),Residence/Housing Starts (Count),Vehicle Registration (Count),Fire Size (Hectares),Fires (Count),Adjusted_AQHI
Fort Saskatchewan,2020,Fort Saskatchewan2020,1942,405,1715,1493,1599,2160,2660,2479,1990,1700,1549,1275,81.98333333333333,,,26413.21155,2825532.202,12983.72024,,,,,,,,,11136.0,,,,,,,,,,25313.0,,,2.1900180998190013
Fort Saskatchewan,2021,Fort Saskatchewan2021,1961,445,1809,1583,1678,2244,2591,2645,2099,1694,1545,1261,81.98666666666666,,,18574.66785,2609368.567,10673.04463,,,,,,,,,11486.0,1750.0,0.0,30.0,0.0,3755.0,530.0,1445.0,6660.0,,,,,2.4724347243472424
Fort Saskatchewan,2022,Fort Saskatchewan2022,1846,394,1870,1616,1638,2218,2570,2721,2265,1721,1546,1249,81.75333333333333,,,,,,,,,,,,,,11704.0,,,,,,,,,,,,,2.5847358473584734
Edmonton,2011,Edmonton2011,51608,8874,42933,50738,73389,83521,71233,60591,57725,61873,61850,43264,80.87,,4804.3,394459.1103,1327906.506,19193.7038,0.0,3487.0,662.0,0.0,0.0,5863.0,185.0,0.0,341674.0,74765.0,25515.0,8420.0,2835.0,180.0,31250.0,16025.0,165760.0,9332.0,602783.0,,,2.8909700000000003
Edmonton,2012,Edmonton2012,53298,9648,43354,50208,73141,85659,75408,63118,58643,60673,62514,45018,81.01666666666667,0.0,4106.6,342998.2825,1348471.101,21369.34786,,,,,,,,,348140.0,,,,,,,,,12837.0,629350.0,,,2.725254505090102
Edmonton,2013,Edmonton2013,55239,10362,44439,50535,73610,88300,80433,66877,60425,59696,63478,46536,81.13666666666667,,3946.6,353368.4503,1202868.063,20794.2469,,,,,,,,,356063.0,,,,,,,,,14689.0,656563.0,,,2.834
Edmonton,2014,Edmonton2014,57566,10700,45815,51225,74387,91375,85648,71132,62349,59396,64274,47588,81.27,,2750.1,327960.7996,1203930.366,20766.79156,,,,,,,,,389527.0,,,,,,,,,13872.0,685437.0,,,2.6667199999999998
Edmonton,2015,Edmonton2015,59688,11108,47196,51695,74047,92449,88394,74303,63457,59189,63946,48382,81.41333333333334,,1088.6,255667.312,1175395.993,20945.68096,,,,,,,,,389527.0,,,,,,,,,17050.0,694584.0,,,2.682993170068299
Edmonton,2016,Edmonton2016,61836,11678,48899,52460,74021,92610,90496,76681,65088,60120,62537,49076,81.59333333333333,,786.4,335283.4401,1381983.861,21534.3144,952.0,9156.0,4060.0,0.0,0.0,6109.0,2829.0,0.0,387950.0,83775.0,25785.0,10015.0,2650.0,95.0,36075.0,22215.0,180215.0,10036.0,679558.0,,,2.486214862148621
Edmonton,2017,Edmonton2017,63624,11756,51197,53052,72932,91802,91513,79911,67057,61177,61675,49436,81.71666666666667,,1143.5,318921.9053,2036372.462,25819.18846,,,,,,,,,387950.0,,,,,,,,,11435.0,690375.0,,,2.683123662473249
