CSDUID,CSD,Period,IndicatorSummaryDescription,Count
4813018,Barrhead County No. 11,2006,Cattle and Calves (number of),114625.0
4813018,Barrhead County No. 11,2011,Cattle and Calves (number of),79631.0
4813018,Barrhead County No. 11,2016,Cattle and Calves (number of),76496.0
4813018,Barrhead County No. 11,2021,Cattle and Calves (number of),81494.0
4810016,Beaver County,2021,Cattle and Calves (number of),49440.0
4810016,Beaver County,2001,Cattle and Calves (number of),0.0
4810016,Beaver County,2006,Cattle and Calves (number of),65224.0
4810016,Beaver County,2011,Cattle and Calves (number of),47803.0
4810016,Beaver County,2016,Cattle and Calves (number of),47768.0
4801008,Forty Mile County No. 8,2001,Cattle and Calves (number of),0.0
4801008,Forty Mile County No. 8,2006,Cattle and Calves (number of),79314.0
4801008,Forty Mile County No. 8,2011,Cattle and Calves (number of),61778.0
4801008,Forty Mile County No. 8,2016,Cattle and Calves (number of),64180.0
4801008,Forty Mile County No. 8,2021,Cattle and Calves (number of),59807.0
4801003,Cypress County,2021,Cattle and Calves (number of),157958.0
4801003,Cypress County,2001,Cattle and Calves (number of),0.0
4801003,Cypress County,2006,Cattle and Calves (number of),149211.0
4801003,Cypress County,2011,Cattle and Calves (number of),150008.0
4801003,Cypress County,2016,Cattle and Calves (number of),167797.0
4803018,Willow Creek No. 26,2001,Cattle and Calves (number of),0.0
4803018,Willow Creek No. 26,2006,Cattle and Calves (number of),173389.0
4803018,Willow Creek No. 26,2011,Cattle and Calves (number of),176664.0
4803018,Willow Creek No. 26,2016,Cattle and Calves (number of),188873.0
4803018,Willow Creek No. 26,2021,Cattle and Calves (number of),183444.0
4802011,Lethbridge County,2021,Cattle and Calves (number of),778575.0
4802011,Lethbridge County,2001,Cattle and Calves (number of),0.0
4802011,Lethbridge County,2006,Cattle and Calves (number of),526678.0
4802011,Lethbridge County,2011,Cattle and Calves (number of),427602.0
4802011,Lethbridge County,2016,Cattle and Calves (number of),543566.0
4802021,"Taber, M.D.",2001,Cattle and Calves (number of),0.0
4802021,"Taber, M.D.",2006,Cattle and Calves (number of),151043.0
4802021,"Taber, M.D.",2011,Cattle and Calves (number of),268135.0
4802021,"Taber, M.D.",2016,Cattle and Calves (number of),196258.0
4802021,"Taber, M.D.",2021,Cattle and Calves (number of),111668.0
4803011,Pincher Creek No. 9,2021,Cattle and Calves (number of),92986.0
4803011,Pincher Creek No. 9,2001,Cattle and Calves (number of),0.0
4803011,Pincher Creek No. 9,2006,Cattle and Calves (number of),111058.0
4803011,Pincher Creek No. 9,2011,Cattle and Calves (number of),100249.0
4803011,Pincher Creek No. 9,2016,Cattle and Calves (number of),88080.0
4804004,Special Area No. 2,2001,Cattle and Calves (number of),0.0
4804004,Special Area No. 2,2006,Cattle and Calves (number of),184927.0
4804004,Special Area No. 2,2011,Cattle and Calves (number of),143357.0
4804004,Special Area No. 2,2016,Cattle and Calves (number of),138620.0
4804004,Special Area No. 2,2021,Cattle and Calves (number of),139198.0
4804012,Special Area No. 3,2021,Cattle and Calves (number of),71572.0
4804012,Special Area No. 3,2001,Cattle and Calves (number of),0.0
4804012,Special Area No. 3,2006,Cattle and Calves (number of),84160.0
4804012,Special Area No. 3,2011,Cattle and Calves (number of),76075.0
4804012,Special Area No. 3,2016,Cattle and Calves (number of),68887.0
4804020,Special Area No. 4,2001,Cattle and Calves (number of),0.0
4804020,Special Area No. 4,2006,Cattle and Calves (number of),81451.0
4804020,Special Area No. 4,2011,Cattle and Calves (number of),87622.0
4804020,Special Area No. 4,2016,Cattle and Calves (number of),90272.0
4804020,Special Area No. 4,2021,Cattle and Calves (number of),87330.0
4805001,Vulcan County,2021,Cattle and Calves (number of),84016.0
4805001,Vulcan County,2001,Cattle and Calves (number of),0.0
4805001,Vulcan County,2006,Cattle and Calves (number of),171969.0
4805001,Vulcan County,2011,Cattle and Calves (number of),197851.0
4805001,Vulcan County,2016,Cattle and Calves (number of),191944.0
4806001,Foothills County,2001,Cattle and Calves (number of),0.0
4806001,Foothills County,2006,Cattle and Calves (number of),137822.0
4806001,Foothills County,2011,Cattle and Calves (number of),122852.0
4806001,Foothills County,2016,Cattle and Calves (number of),124409.0
4806001,Foothills County,2021,Cattle and Calves (number of),162603.0
4806014,Rocky View County,2021,Cattle and Calves (number of),126545.0
4806014,Rocky View County,2001,Cattle and Calves (number of),0.0
4806014,Rocky View County,2006,Cattle and Calves (number of),166269.0
4806014,Rocky View County,2011,Cattle and Calves (number of),134798.0
4806014,Rocky View County,2016,Cattle and Calves (number of),120371.0
4806016,Calgary,2001,Cattle and Calves (number of),0.0
4806016,Calgary,2006,Cattle and Calves (number of),7689.0
4806016,Calgary,2011,Cattle and Calves (number of),634.0
4806016,Calgary,2016,Cattle and Calves (number of),9245.0
4806016,Calgary,2021,Cattle and Calves (number of),10217.0
4806028,Mountain View County,2021,Cattle and Calves (number of),121604.0
4806028,Mountain View County,2001,Cattle and Calves (number of),0.0
4806028,Mountain View County,2006,Cattle and Calves (number of),182201.0
4806028,Mountain View County,2011,Cattle and Calves (number of),120108.0
4806028,Mountain View County,2016,Cattle and Calves (number of),105821.0
4807001,Provost No. 52,2001,Cattle and Calves (number of),0.0
4807001,Provost No. 52,2006,Cattle and Calves (number of),100697.0
4807001,Provost No. 52,2011,Cattle and Calves (number of),95383.0
4807001,Provost No. 52,2016,Cattle and Calves (number of),99560.0
4807001,Provost No. 52,2021,Cattle and Calves (number of),97499.0
4819041,Smoky River No. 130,2021,Cattle and Calves (number of),11469.0
4819041,Smoky River No. 130,2001,Cattle and Calves (number of),0.0
4819041,Smoky River No. 130,2006,Cattle and Calves (number of),13930.0
4819041,Smoky River No. 130,2011,Cattle and Calves (number of),8939.0
4819041,Smoky River No. 130,2016,Cattle and Calves (number of),6264.0
4810036,Vermilion River County,2001,Cattle and Calves (number of),0.0
4810036,Vermilion River County,2006,Cattle and Calves (number of),177348.0
4810036,Vermilion River County,2011,Cattle and Calves (number of),145407.0
4810036,Vermilion River County,2016,Cattle and Calves (number of),131376.0
4810036,Vermilion River County,2021,Cattle and Calves (number of),152591.0
4817026,Northern Sunrise County,2021,Cattle and Calves (number of),8854.0
4817026,Northern Sunrise County,2001,Cattle and Calves (number of),0.0
4817026,Northern Sunrise County,2006,Cattle and Calves (number of),10897.0
4817026,Northern Sunrise County,2011,Cattle and Calves (number of),8930.0
4817026,Northern Sunrise County,2016,Cattle and Calves (number of),5712.0
4817027,Big Lakes County,2001,Cattle and Calves (number of),0.0
4817027,Big Lakes County,2006,Cattle and Calves (number of),44097.0
4817027,Big Lakes County,2011,Cattle and Calves (number of),31362.0
4817027,Big Lakes County,2016,Cattle and Calves (number of),27930.0
4817027,Big Lakes County,2021,Cattle and Calves (number of),29723.0
4813001,Lac Ste. Anne County,2021,Cattle and Calves (number of),72156.0
4813001,Lac Ste. Anne County,2001,Cattle and Calves (number of),0.0
4813001,Lac Ste. Anne County,2006,Cattle and Calves (number of),95525.0
4813001,Lac Ste. Anne County,2011,Cattle and Calves (number of),70511.0
4813001,Lac Ste. Anne County,2016,Cattle and Calves (number of),64912.0
4819049,Birch Hills County,2001,Cattle and Calves (number of),0.0
4819049,Birch Hills County,2006,Cattle and Calves (number of),22955.0
4819049,Birch Hills County,2011,Cattle and Calves (number of),20432.0
4819049,Birch Hills County,2016,Cattle and Calves (number of),12783.0
4819049,Birch Hills County,2021,Cattle and Calves (number of),11195.0
4819054,Spirit River No. 133,2021,Cattle and Calves (number of),6642.0
4819054,Spirit River No. 133,2001,Cattle and Calves (number of),0.0
4819054,Spirit River No. 133,2006,Cattle and Calves (number of),6187.0
4819054,Spirit River No. 133,2011,Cattle and Calves (number of),1678.0
4819054,Spirit River No. 133,2016,Cattle and Calves (number of),3184.0
4819059,Saddle Hills County,2001,Cattle and Calves (number of),0.0
4819059,Saddle Hills County,2006,Cattle and Calves (number of),36193.0
4819059,Saddle Hills County,2011,Cattle and Calves (number of),27673.0
4819059,Saddle Hills County,2016,Cattle and Calves (number of),26429.0
4819059,Saddle Hills County,2021,Cattle and Calves (number of),25414.0
4819066,Fairview No. 136,2021,Cattle and Calves (number of),6383.0
4819066,Fairview No. 136,2001,Cattle and Calves (number of),0.0
4819066,Fairview No. 136,2006,Cattle and Calves (number of),20265.0
4819066,Fairview No. 136,2011,Cattle and Calves (number of),7393.0
4819066,Fairview No. 136,2016,Cattle and Calves (number of),7482.0
4811032,Brazeau County,2001,Cattle and Calves (number of),0.0
4811032,Brazeau County,2006,Cattle and Calves (number of),39461.0
4811032,Brazeau County,2011,Cattle and Calves (number of),28738.0
4811032,Brazeau County,2016,Cattle and Calves (number of),26184.0
4811032,Brazeau County,2021,Cattle and Calves (number of),29669.0
4811034,Parkland County,2021,Cattle and Calves (number of),53564.0
4811034,Parkland County,2001,Cattle and Calves (number of),0.0
4811034,Parkland County,2006,Cattle and Calves (number of),68709.0
4811034,Parkland County,2011,Cattle and Calves (number of),45353.0
4811034,Parkland County,2016,Cattle and Calves (number of),47134.0
4811052,Strathcona County,2001,Cattle and Calves (number of),0.0
4811052,Strathcona County,2006,Cattle and Calves (number of),24125.0
4811052,Strathcona County,2011,Cattle and Calves (number of),14781.0
4811052,Strathcona County,2016,Cattle and Calves (number of),14845.0
4811052,Strathcona County,2021,Cattle and Calves (number of),18979.0
4811059,Sturgeon County,2021,Cattle and Calves (number of),32279.0
4811059,Sturgeon County,2001,Cattle and Calves (number of),0.0
4811059,Sturgeon County,2006,Cattle and Calves (number of),47324.0
4811059,Sturgeon County,2011,Cattle and Calves (number of),27184.0
4811059,Sturgeon County,2016,Cattle and Calves (number of),32532.0
4817095,Mackenzie County,2001,Cattle and Calves (number of),0.0
4817095,Mackenzie County,2006,Cattle and Calves (number of),20605.0
4817095,Mackenzie County,2011,Cattle and Calves (number of),16701.0
4817095,Mackenzie County,2016,Cattle and Calves (number of),15049.0
4817095,Mackenzie County,2021,Cattle and Calves (number of),21613.0
4817062,Clear Hills,2021,Cattle and Calves (number of),38335.0
4817062,Clear Hills,2001,Cattle and Calves (number of),0.0
4817062,Clear Hills,2006,Cattle and Calves (number of),34634.0
4817062,Clear Hills,2011,Cattle and Calves (number of),22149.0
4817062,Clear Hills,2016,Cattle and Calves (number of),26732.0
4818015,Greenview No. 16,2001,Cattle and Calves (number of),0.0
4818015,Greenview No. 16,2006,Cattle and Calves (number of),65731.0
4818015,Greenview No. 16,2011,Cattle and Calves (number of),43505.0
4818015,Greenview No. 16,2016,Cattle and Calves (number of),41121.0
4818015,Greenview No. 16,2021,Cattle and Calves (number of),48992.0
4819006,Grande Prairie County No. 1,2021,Cattle and Calves (number of),72024.0
4819006,Grande Prairie County No. 1,2001,Cattle and Calves (number of),0.0
4819006,Grande Prairie County No. 1,2006,Cattle and Calves (number of),77884.0
4819006,Grande Prairie County No. 1,2011,Cattle and Calves (number of),65055.0
4819006,Grande Prairie County No. 1,2016,Cattle and Calves (number of),68654.0
4812004,Bonnyville No. 87,2001,Cattle and Calves (number of),0.0
4812004,Bonnyville No. 87,2006,Cattle and Calves (number of),94119.0
4812004,Bonnyville No. 87,2011,Cattle and Calves (number of),63418.0
4812004,Bonnyville No. 87,2016,Cattle and Calves (number of),60842.0
4812004,Bonnyville No. 87,2021,Cattle and Calves (number of),65363.0
4812014,St. Paul County No. 19,2021,Cattle and Calves (number of),95629.0
4812014,St. Paul County No. 19,2001,Cattle and Calves (number of),0.0
4812014,St. Paul County No. 19,2006,Cattle and Calves (number of),109822.0
4812014,St. Paul County No. 19,2011,Cattle and Calves (number of),87338.0
4812014,St. Paul County No. 19,2016,Cattle and Calves (number of),78674.0
4812022,Smoky Lake County,2001,Cattle and Calves (number of),0.0
