CSDUID,CSD,Period,IndicatorSummaryDescription,UnitOfMeasure,OriginalValue
4813029,Woodlands County,2006,Cattle and Calves (number of),,23969.00000
4813029,Woodlands County,2011,Cattle and Calves (number of),,21676.00000
4813029,Woodlands County,2016,Cattle and Calves (number of),,18284.00000
4813018,Barrhead County No. 11,2001,Cattle and Calves (number of)
4813018,Barrhead County No. 11,2006,Cattle and Calves (number of),,114625.00000
4813018,Barrhead County No. 11,2011,Cattle and Calves (number of),,79631.00000
4813018,Barrhead County No. 11,2016,Cattle and Calves (number of),,76496.00000
4813018,Barrhead County No. 11,2021,Cattle and Calves (number of),,81494.00000
4810016,Beaver County,2021,Cattle and Calves (number of),,49440.00000
4810016,Beaver County,2001,Cattle and Calves (number of)
4810016,Beaver County,2006,Cattle and Calves (number of),,65224.00000
4810016,Beaver County,2011,Cattle and Calves (number of),,47803.00000
4810016,Beaver County,2016,Cattle and Calves (number of),,47768.00000
4801008,Forty Mile County No. 8,2001,Cattle and Calves (number of)
4801008,Forty Mile County No. 8,2006,Cattle and Calves (number of),,79314.00000
4801008,Forty Mile County No. 8,2011,Cattle and Calves (number of),,61778.00000
4801008,Forty Mile County No. 8,2016,Cattle and Calves (number of),,64180.00000
4801008,Forty Mile County No. 8,2021,Cattle and Calves (number of),,59807.00000
4801003,Cypress County,2021,Cattle and Calves (number of),,157958.00000
4801003,Cypress County,2001,Cattle and Calves (number of)
4801003,Cypress County,2006,Cattle and Calves (number of),,149211.00000
4801003,Cypress County,2011,Cattle and Calves (number of),,150008.00000
4801003,Cypress County,2016,Cattle and Calves (number of),,167797.00000
4803018,Willow Creek No. 26,2001,Cattle and Calves (number of)
4803018,Willow Creek No. 26,2006,Cattle and Calves (number of),,173389.00000
4803018,Willow Creek No. 26,2011,Cattle and Calves (number of),,176664.00000
4803018,Willow Creek No. 26,2016,Cattle and Calves (number of),,188873.00000
4803018,Willow Creek No. 26,2021,Cattle and Calves (number of),,183444.00000
4802011,Lethbridge County,2021,Cattle and Calves (number of),,778575.00000
4802011,Lethbridge County,2001,Cattle and Calves (number of)
4802011,Lethbridge County,2006,Cattle and Calves (number of),,526678.00000
4802011,Lethbridge County,2011,Cattle and Calves (number of),,427602.00000
4802011,Lethbridge County,2016,Cattle and Calves (number of),,543566.00000
4802021,"Taber, M.D.",2001,Cattle and Calves (number of)
4802021,"Taber, M.D.",2006,Cattle and Calves (number of),,151043.00000
4802021,"Taber, M.D.",2011,Cattle and Calves (number of),,268135.00000
4802021,"Taber, M.D.",2016,Cattle and Calves (number of),,196258.00000
4802021,"Taber, M.D.",2021,Cattle and Calves (number of),,111668.00000
4803011,Pincher Creek No. 9,2021,Cattle and Calves (number of),,92986.00000
4803011,Pincher Creek No. 9,2001,Cattle and Calves (number of)
4803011,Pincher Creek No. 9,2006,Cattle and Calves (number of),,111058.00000
4803011,Pincher Creek No. 9,2011,Cattle and Calves (number of),,100249.00000
4803011,Pincher Creek No. 9,2016,Cattle and Calves (number of),,88080.00000
4804004,Special Area No. 2,2001,Cattle and Calves (number of)
4804004,Special Area No. 2,2006,Cattle and Calves (number of),,184927.00000
4804004,Special Area No. 2,2011,Cattle and Calves (number of),,143357.00000
4804004,Special Area No. 2,2016,Cattle and Calves (number of),,138620.00000
4804004,Special Area No. 2,2021,Cattle and Calves (number of),,139198.00000
4804012,Special Area No. 3,2021,Cattle and Calves (number of),,71572.00000
4804012,Special Area No. 3,2001,Cattle and Calves (number of)
4804012,Special Area No. 3,2006,Cattle and Calves (number of),,84160.00000
4804012,Special Area No. 3,2011,Cattle and Calves (number of),,76075.00000
4804012,Special Area No. 3,2016,Cattle and Calves (number of),,68887.00000
4804020,Special Area No. 4,2001,Cattle and Calves (number of)
4804020,Special Area No. 4,2006,Cattle and Calves (number of),,81451.00000
4804020,Special Area No. 4,2011,Cattle and Calves (number of),,87622.00000
4804020,Special Area No. 4,2016,Cattle and Calves (number of),,90272.00000
4804020,Special Area No. 4,2021,Cattle and Calves (number of),,87330.00000
4805001,Vulcan County,2021,Cattle and Calves (number of),,84016.00000
4805001,Vulcan County,2001,Cattle and Calves (number of)
4805001,Vulcan County,2006,Cattle and Calves (number of),,171969.00000
4805001,Vulcan County,2011,Cattle and Calves (number of),,197851.00000
4805001,Vulcan County,2016,Cattle and Calves (number of),,191944.00000
4806001,Foothills County,2001,Cattle and Calves (number of)
4806001,Foothills County,2006,Cattle and Calves (number of),,137822.00000
4806001,Foothills County,2011,Cattle and Calves (number of),,122852.00000
4806001,Foothills County,2016,Cattle and Calves (number of),,124409.00000
4806001,Foothills County,2021,Cattle and Calves (number of),,162603.00000
4806014,Rocky View County,2021,Cattle and Calves (number of),,126545.00000
4806014,Rocky View County,2001,Cattle and Calves (number of)
4806014,Rocky View County,2006,Cattle and Calves (number of),,166269.00000
4806014,Rocky View County,2011,Cattle and Calves (number of),,134798.00000
4806014,Rocky View County,2016,Cattle and Calves (number of),,120371.00000
4806016,Calgary,2001,Cattle and Calves (number of)
4806016,Calgary,2006,Cattle and Calves (number of),,7689.00000
4806016,Calgary,2011,Cattle and Calves (number of),,634.00000
4806016,Calgary,2016,Cattle and Calves (number of),,9245.00000
4806016,Calgary,2021,Cattle and Calves (number of),,10217.00000
4806028,Mountain View County,2021,Cattle and Calves (number of),,121604.00000
4806028,Mountain View County,2001,Cattle and Calves (number of)
4806028,Mountain View County,2006,Cattle and Calves (number of),,182201.00000
4806028,Mountain View County,2011,Cattle and Calves (number of),,120108.00000
4806028,Mountain View County,2016,Cattle and Calves (number of),,105821.00000
4807001,Provost No. 52,2001,Cattle and Calves (number of)
4807001,Provost No. 52,2006,Cattle and Calves (number of),,100697.00000
4807001,Provost No. 52,2011,Cattle and Calves (number of),,95383.00000
4807001,Provost No. 52,2016,Cattle and Calves (number of),,99560.00000
4807001,Provost No. 52,2021,Cattle and Calves (number of),,97499.00000
