,Unnamed: 0,fire_year,fire_number,fire_name,current_size,size_class,fire_location_latitude,fire_location_longitude,fire_start_date,wind_direction,wind_speed,Municipality
377,16860,2016,MWF014,,310,E,56.608317,-110.940367,42494.76042,S,39,Wood Buffalo
378,16870,2015,RWF127,,11.2,C,52.42385,-116.216567,42291.58333,N,5,Clearwater County
379,16885,2016,HWF054,,19.1,C,58.7082,-118.672233,42495.44444,W,15,Mackenzie County
380,16917,2016,LWF082,,23.5,C,55.58025,-113.051217,42527.54167,N,20,Municipal District of Opportunity
381,16930,2015,HWF295,,49.27,D,59.3409,-117.817,42215.625,W,11,Mackenzie County
382,16938,2016,LWF103,,20.08,C,56.09335,-111.0123,42579.5625,N,5,Wood Buffalo
383,16974,2016,PWF113,,44.8,D,57.431217,-117.2512,42620.58333,W,15,County of Northern Lights
384,17039,2016,HWF030,,118.3,D,58.396516,-116.716724,42309,NW,15,Mackenzie County
385,17042,2016,WWF025,Iosegun Lake ,657,E,54.525278,-116.803612,42505.53125,SE,10,Municipal District of Greenview
386,17074,2016,SWF079,,35.1,C,57.110703,-114.758415,42527.76389,S,10,Municipal District of Opportunity
387,17180,2016,HWF130,,2297.5,E,59.865967,-118.14715,42549.83333,S,10,Mackenzie County
388,17299,2016,PWF024,,74,D,56.505583,-117.88345,42490.58333,SW,10,County of Northern Lights
389,17355,2017,MWF006,,20,C,57.222776,-110.748604,42875.54167,E,15,Wood Buffalo
390,17421,2017,MWF037,,24.1,C,57.70855,-113.142333,42924.5,SW,5,Wood Buffalo
391,17450,2017,HWF015,,40.12,D,58.402917,-114.532683,42840.70833,W,10,Mackenzie County
392,17503,2017,LWF038,,51.7,D,55.12105,-112.02865,42875.53819,W,12,Lac La Biche County
393,17530,2017,MWF013,,29,C,57.993005,-113.761937,42886.73889,W,10,Wood Buffalo
394,17563,2017,SWF023,,35.1,C,54.80295,-116.703933,42878.83333,NW,30,Municipal District of Greenview
395,17577,2017,SWF051,,150,D,56.69105,-116.038633,42912.78125,SW,10,Northern Sunrise County
396,17578,2017,SWF052,,133,D,56.669867,-116.013583,42912.69792,NW,20,Northern Sunrise County
397,17592,2017,PWF024,,80.7,D,57.003167,-118.581117,42885.63889,W,7,Clear Hills County
398,17606,2017,HWF042,,64,D,58.302583,-115.781,42855.58472,SW,13,Mackenzie County
399,17651,2017,PWF040,,12.2,C,56.332417,-116.7133,42903.64583,S,20,Northern Sunrise County
400,17654,2017,SWF049,,320,E,56.93867,-115.0551,42911.69792,SW,10,Northern Sunrise County
401,17661,2017,MWF039,,32.6,C,57.43505,-110.392617,42924.75,N,10,Wood Buffalo
402,17667,2017,HWF081,,14.93,C,58.466617,-114.389533,42874.54167,SW,23,Mackenzie County
403,17690,2017,LWF018,,39,C,55.822666,-110.879165,42838.33333,SW,23,Wood Buffalo
404,17694,2017,HWF090,,183,D,58.49115,-114.377917,42884.61111,SE,9,Mackenzie County
405,17726,2017,MWF017,,11,C,57.27153,-112.287468,42887.75,SE,8,Wood Buffalo
406,17727,2017,MWF018,,117.5,D,57.0515,-112.97185,42888.47917,W,5,Municipal District of Opportunity
407,17778,2017,HWF126,,15.7,C,59.459617,-115.76675,42887.625,NE,10,Mackenzie County
408,17787,2017,HWF183,,117,D,58.533633,-114.287333,42933.41667,W,1,Mackenzie County
409,17841,2017,HWF097,,100,D,59.655,-116.871388,42885.55208,S,10,Mackenzie County
410,17842,2017,HWF098,,210,E,59.6475,-116.851433,42885.56597,S,10,Mackenzie County
411,17863,2017,PWF068, ,201.5,E,57.368783,-116.214983,42938.59792,SW,18,Northern Sunrise County
412,17893,2017,HWF102,,387.7,E,59.859383,-116.8565,42885.6875,S,15,Mackenzie County
413,17895,2017,HWF105,,75,D,58.37875,-119.108717,42885.79514,SE,15,Mackenzie County
414,17903,2017,HWF125,,13.2,C,58.99345,-118.019117,42887.61806,SW,11,Mackenzie County
415,17962,2017,HWF142,,45,D,59.840217,-115.792583,42892.51042,E,15,Mackenzie County
416,17977,2016,EWF088,,51.37,D,53.263167,-117.6555,42767.41667,W,50,Yellowhead County
417,17978,2016,EWF089,,35.51,C,53.08017,-117.23514,42769.41667,W,45,Yellowhead County
418,18019,2017,HWF023,,301.2,E,58.48315,-114.362033,42845,E,10,Mackenzie County
419,18032,2017,PWF044,,13.6,C,56.513283,-117.7015,42910.76736,SE,8,County of Northern Lights
420,18076,2017,HWF083,,18.3,C,58.723333,-118.746112,42876.39792,E,10,Mackenzie County
421,18087,2016,CWF232,,10.1,C,50.260367,-114.330783,42820.52083,SW,5,Kananaskis Improvement District
422,18093,2017,HWF029,,55.76,D,58.394667,-116.505417,42851.72917,SE,5,Mackenzie County
423,18094,2017,HWF030,,64,D,58.111517,-116.236767,42851.75694,SE,10,Mackenzie County
424,18122,2017,HWF230,,17.1,C,59.026167,-118.539,42954.58333,SE,17,Mackenzie County
425,18133,2017,HWF286,,10.7,C,58.748533,-119.015083,42995.54167,CLM,0,Mackenzie County
426,18189,2018,PWF022,,20.2,C,56.27875,-118.27195,43101.5,N,15,Clear Hills County
427,18193,2018,HWF104,,31.4,C,59.512222,-117.720278,43248.55486,SW,15,Mackenzie County
428,18198,2017,HWF196,Sandy Pines Fire ,350,E,58.1845,-116.7575,42942.63611,S,15,Mackenzie County
429,18215,2018,SWF029,,14.4,C,55.411633,-116.865367,43235.47639,W,8,Municipal District of Smoky River
430,18222,2018,HWF070,,56,D,58.51498,-116.35901,43232.64444,W,90,Mackenzie County
431,18232,2018,LWF099,Rock Island Complex,7283,E,55.492667,-113.165917,43241.54167,SW,10,Municipal District of Opportunity
432,18261,2018,HWF123,,14.5,C,58.892883,-116.640617,43272.79514,SE,5,Mackenzie County
433,18291,2018,SWF053,,36,C,56.477933,-115.643137,43248.70833,W,50,Northern Sunrise County
434,18293,2017,HWF192,,280,E,59.172483,-114.625617,42939.45556,NE,5,Mackenzie County
435,18295,2017,HWF242,,719,E,58.01015,-114.840883,42956.75,S,19,Mackenzie County
436,18325,2018,HWF142,,30,C,59.62485,-119.2815,43273.625,CLM,0,Mackenzie County
437,18333,2018,MWF051,,30.9,C,57.299517,-110.11705,43273.66667,SE,15,Wood Buffalo
438,18340,2017,HWF280,,13539,E,59.820917,-118.039767,42979.58472,W,8,Mackenzie County
439,18348,2018,MWF020,,34.6,C,56.474152,-110.314275,43247.66667,NW,20,Wood Buffalo
440,18388,2017,RWF068,,93,D,51.981767,-115.012117,42985.70833,SW,5,Clearwater County
441,18430,2018,LWF119,Rock Island Complex,4638.4,E,55.459333,-112.801317,43240.54167,SE,15,Municipal District of Opportunity
442,18431,2018,LWF121,Cowper Complex,189.4,D,55.815825,-110.742783,43243.66667,SE,5,Wood Buffalo
443,18443,2017,MWF057,,23.4,C,57.458227,-111.018637,42941.625,SW,10,Wood Buffalo
444,18459,2018,HWF128,,50.25,D,59.506167,-119.031567,43273.59931,NE,29,Mackenzie County
445,18461,2018,HWF129,,120.28,D,59.549167,-119.277667,43273.59653,NE,5,Mackenzie County
446,18474,2018,SWF088,,102.3,D,57.373323,-115.103983,43273.54167,S,10,Northern Sunrise County
447,18513,2018,RWF049,Skeleton Creek ,1084.4,E,51.85565,-115.704317,43307.10764,SW,11,Clearwater County
448,18514,2018,CWF116,,13.5,C,49.612633,-114.449667,43321.56181,NW,10,
449,18542,2018,PWF077, ,48.9,D,57.730175,-119.939947,43272.64583,W,15,County of Northern Lights
450,18545,2018,MWF066,,23.6,C,59.474067,-111.2247,43274.79167,SW,16,Wood Buffalo
451,18546,2018,LWF168,,21.2,C,56.138233,-110.133533,43275.56944,SW,20,Wood Buffalo
452,18552,2018,MWF073,,36.1,C,57.174292,-112.885703,43276.61458,SE,15,Municipal District of Opportunity
453,18553,2018,HWF161,,20.1,C,58.793888,-114.080557,43276.73403,E,10,Mackenzie County
454,18594,2018,EWF077,Quigley Creek,795.6,E,53.35965,-117.349633,43272.64583,W,20,Yellowhead County
455,18616,2018,PWF007,,11.3,C,57.85685,-117.609847,43226.75,NW,15,County of Northern Lights
456,18623,2018,MWF093,,27.2,C,57.176033,-112.145917,43316.625,SE,10,Wood Buffalo
457,18632,2018,LWF038,,11.3,C,55.023522,-113.305844,43217.97917,SW,15,Athabasca County
458,18662,2018,HWF081,,60,D,58.918183,-116.530083,43244.43542,SE,20,Mackenzie County
459,18664,2018,HWF107,,25.1,C,59.016683,-117.14235,43248.70764,NW,15,Mackenzie County
460,18709,2018,CWF013,,10.4,C,50.019083,-114.026831,43226.70139,SW,5,Municipal District of Ranchland No. 66
461,18719,2018,SWF125,,17.7,C,57.364808,-115.500167,43308.69792,SW,13,Northern Sunrise County
462,18721,2018,HWF215,,111,D,58.651467,-119.396683,43332.73542,SW,10,Mackenzie County
463,18734,2017,MWF081,,354.9,E,57.65545,-112.629733,42958.66667,SE,25,Wood Buffalo
464,18754,2018,PWF034,Lennard Creek,1168.19,E,57.4038,-119.9279,43242.60417,S,10,County of Northern Lights
465,18763,2017,MWF062,,11.2,C,57.28975,-112.694017,42944.66667,W,20,Wood Buffalo
466,18783,2017,HWF221,,4994,E,58.180117,-114.49135,42952.57986,NE,15,Mackenzie County
467,18784,2017,HWF222,,100,D,58.1945,-114.515,42952.58333,NE,15,Mackenzie County
468,18785,2017,HWF223,.,94,D,58.394667,-114.298333,42952.66667,S,10,Mackenzie County
469,18789,2017,SWF107,Muskrat Lake,17023,E,57.36025,-113.267667,42956.79167,S,20,Municipal District of Opportunity
470,18794,2018,HWF039,,19,C,58.721533,-118.699333,43227.75,S,5,Mackenzie County
471,18818,2018,SWF117,,58,D,56.9055,-115.3181,43308.64583,N,5,Northern Sunrise County
472,18823,2018,HWF212,,6728,E,59.15325,-114.068567,43326.375,SW,5,Mackenzie County
473,18832,2017,HWF195,,25.16,C,59.7356,-119.0226,42941.75903,SW,10,Mackenzie County
474,18841,2017,RWF065,,67,D,52.407233,-116.4433,42980.5,SW,25,Census Division No. 9
475,18860,2017,CWF258,Chimney Rock ,1535,E,50.085883,-114.2537,43033.41667,W,20,Municipal District of Ranchland No. 66
476,18886,2018,HWF180,,15.6,C,59.723733,-116.871133,43309.70833,SW,6,Mackenzie County
477,18890,2018,HWF182,,27.5,C,59.308612,-117.485557,43309.70139,W,10,Mackenzie County
478,18915,2018,SWF145,,27.2,C,56.841687,-113.49665,43317.61458,N,10,Municipal District of Opportunity
479,18983,2017,HWF246,,255,E,58.18299,-114.232952,42958.7375,SW,13,Mackenzie County
480,18993,2018,LWF116,Cowper Complex,1456.2,E,55.96805,-111.254467,43242.55556,SW,10,Wood Buffalo
481,18994,2018,LWF117,,23.8,C,55.956983,-112.49265,43242.625,SW,15,Lac La Biche County
482,19036,2018,SWF068,,22.7,C,56.739018,-116.002035,43273.53472,S,5,Northern Sunrise County
483,19057,2018,LWF108,,31,C,55.127926,-111.256156,43241.66667,N,10,Municipal District of Bonnyville
484,19078,2017,RWF062,Coral Creek,842,E,52.23025,-116.615167,42978.5,SW,20,Clearwater County
485,19079,2017,RWF063,Canary Mountain,628,E,51.995583,-116.143167,42978.54167,SW,15,Clearwater County
486,19084,2017,RWF078,,47.5,D,51.85165,-115.243933,43025.5,W,35,Clearwater County
487,19091,2018,HWF136,,32.5,C,59.580983,-119.229483,43273.58472,CLM,0,Mackenzie County
488,19093,2018,HWF137,,4374.9,E,59.5909,-119.2651,43273.62431,NW,10,Mackenzie County
489,19097,2018,LWF152,,12,C,56.152283,-110.83375,43273.625,SE,15,Wood Buffalo
490,19103,2018,SWF083,,32,C,56.891067,-113.2772,43273.66667,NE,7,Municipal District of Opportunity
491,19106,2018,LWF155,,28.3,C,56.004914,-110.531104,43273.6875,NE,2,Wood Buffalo
492,19163,2018,SWF094,Rabbit Lake,5026.8,E,56.960433,-113.099793,43274.65278,N,2,Municipal District of Opportunity
493,19174,2018,LWF169,,23.6,C,55.700505,-110.230258,43276.35417,SE,15,Wood Buffalo
494,19182,2018,LWF001,,14.6,C,55.926833,-110.735767,43211.58333,W,10,Wood Buffalo
495,19204,2018,PWF062,,14.2,C,56.885983,-116.619433,43273.53819,SW,20,Northern Sunrise County
496,19232,2017,MWF082,,28.3,C,57.1036,-111.996133,42960.625,SE,20,Wood Buffalo
497,19252,2018,HWF177,,3159.4,E,59.269083,-119.4795,43307.75,W,3,Mackenzie County
498,19275,2018,MWF053,,96.7,D,57.380367,-110.261233,43274.63542,SW,8,Wood Buffalo
