CSDUID,CSD,Period,IndicatorSummaryDescription,Crop Type,Count
4806014,Rocky View County,2016,Cropland (Acres),Durum Wheat,3950.0
4806014,Rocky View County,2021,Cropland (Acres),Durum Wheat,0.0
4806016,Calgary,2006,Cropland (Acres),Durum Wheat,660.0
4806016,Calgary,2011,Cropland (Acres),Durum Wheat,0.0
4806016,Calgary,2016,Cropland (Acres),Durum Wheat,0.0
4806016,Calgary,2021,Cropland (Acres),Durum Wheat,0.0
4806028,Mountain View County,2006,Cropland (Acres),Durum Wheat,710.0
4806028,Mountain View County,2011,Cropland (Acres),Durum Wheat,1269.0
4806028,Mountain View County,2016,Cropland (Acres),Durum Wheat,1488.0
4806028,Mountain View County,2021,Cropland (Acres),Durum Wheat,7187.0
4807001,Provost No. 52,2006,Cropland (Acres),Durum Wheat,7354.0
4807001,Provost No. 52,2011,Cropland (Acres),Durum Wheat,2570.0
4807001,Provost No. 52,2016,Cropland (Acres),Durum Wheat,5797.0
4807001,Provost No. 52,2021,Cropland (Acres),Durum Wheat,0.0
4819041,Smoky River No. 130,2006,Cropland (Acres),Durum Wheat,0.0
4819041,Smoky River No. 130,2011,Cropland (Acres),Durum Wheat,0.0
4819041,Smoky River No. 130,2016,Cropland (Acres),Durum Wheat,0.0
4819041,Smoky River No. 130,2021,Cropland (Acres),Durum Wheat,4946.0
4810036,Vermilion River County,2006,Cropland (Acres),Durum Wheat,1140.0
4810036,Vermilion River County,2011,Cropland (Acres),Durum Wheat,0.0
4810036,Vermilion River County,2016,Cropland (Acres),Durum Wheat,1548.0
4810036,Vermilion River County,2021,Cropland (Acres),Durum Wheat,0.0
4817026,Northern Sunrise County,2006,Cropland (Acres),Durum Wheat,1490.0
4817026,Northern Sunrise County,2011,Cropland (Acres),Durum Wheat,0.0
4817026,Northern Sunrise County,2016,Cropland (Acres),Durum Wheat,0.0
4817026,Northern Sunrise County,2021,Cropland (Acres),Durum Wheat,0.0
4817027,Big Lakes County,2006,Cropland (Acres),Durum Wheat,0.0
4817027,Big Lakes County,2011,Cropland (Acres),Durum Wheat,0.0
4817027,Big Lakes County,2016,Cropland (Acres),Durum Wheat,0.0
4817027,Big Lakes County,2021,Cropland (Acres),Durum Wheat,0.0
4813001,Lac Ste. Anne County,2006,Cropland (Acres),Durum Wheat,0.0
4813001,Lac Ste. Anne County,2011,Cropland (Acres),Durum Wheat,320.0
4813001,Lac Ste. Anne County,2016,Cropland (Acres),Durum Wheat,0.0
4813001,Lac Ste. Anne County,2021,Cropland (Acres),Durum Wheat,2130.0
4819049,Birch Hills County,2006,Cropland (Acres),Durum Wheat,0.0
4819049,Birch Hills County,2011,Cropland (Acres),Durum Wheat,0.0
4819049,Birch Hills County,2016,Cropland (Acres),Durum Wheat,0.0
4819049,Birch Hills County,2021,Cropland (Acres),Durum Wheat,3440.0
4819054,Spirit River No. 133,2006,Cropland (Acres),Durum Wheat,0.0
4819054,Spirit River No. 133,2011,Cropland (Acres),Durum Wheat,0.0
4819054,Spirit River No. 133,2016,Cropland (Acres),Durum Wheat,0.0
4819054,Spirit River No. 133,2021,Cropland (Acres),Durum Wheat,0.0
4819059,Saddle Hills County,2006,Cropland (Acres),Durum Wheat,0.0
4819059,Saddle Hills County,2011,Cropland (Acres),Durum Wheat,960.0
4819059,Saddle Hills County,2016,Cropland (Acres),Durum Wheat,0.0
4819059,Saddle Hills County,2021,Cropland (Acres),Durum Wheat,0.0
4819066,Fairview No. 136,2006,Cropland (Acres),Durum Wheat,0.0
4819066,Fairview No. 136,2011,Cropland (Acres),Durum Wheat,0.0
4819066,Fairview No. 136,2016,Cropland (Acres),Durum Wheat,0.0
4819066,Fairview No. 136,2021,Cropland (Acres),Durum Wheat,0.0
4811032,Brazeau County,2006,Cropland (Acres),Durum Wheat,0.0
4811032,Brazeau County,2011,Cropland (Acres),Durum Wheat,0.0
4811032,Brazeau County,2016,Cropland (Acres),Durum Wheat,0.0
4811032,Brazeau County,2021,Cropland (Acres),Durum Wheat,0.0
4811034,Parkland County,2006,Cropland (Acres),Durum Wheat,0.0
4811034,Parkland County,2011,Cropland (Acres),Durum Wheat,0.0
4811034,Parkland County,2016,Cropland (Acres),Durum Wheat,0.0
4811034,Parkland County,2021,Cropland (Acres),Durum Wheat,0.0
4811052,Strathcona County,2006,Cropland (Acres),Durum Wheat,0.0
4811052,Strathcona County,2011,Cropland (Acres),Durum Wheat,0.0
4811052,Strathcona County,2016,Cropland (Acres),Durum Wheat,0.0
4811052,Strathcona County,2021,Cropland (Acres),Durum Wheat,0.0
4811059,Sturgeon County,2006,Cropland (Acres),Durum Wheat,0.0
4811059,Sturgeon County,2011,Cropland (Acres),Durum Wheat,3022.0
4811059,Sturgeon County,2016,Cropland (Acres),Durum Wheat,1877.0
4811059,Sturgeon County,2021,Cropland (Acres),Durum Wheat,9298.0
4817095,Mackenzie County,2006,Cropland (Acres),Durum Wheat,1194.0
4817095,Mackenzie County,2011,Cropland (Acres),Durum Wheat,1096.0
4817095,Mackenzie County,2016,Cropland (Acres),Durum Wheat,909.0
4817095,Mackenzie County,2021,Cropland (Acres),Durum Wheat,0.0
4817062,Clear Hills,2006,Cropland (Acres),Durum Wheat,0.0
4817062,Clear Hills,2011,Cropland (Acres),Durum Wheat,1038.0
4817062,Clear Hills,2016,Cropland (Acres),Durum Wheat,2876.0
4817062,Clear Hills,2021,Cropland (Acres),Durum Wheat,2684.0
4818015,Greenview No. 16,2006,Cropland (Acres),Durum Wheat,0.0
4818015,Greenview No. 16,2011,Cropland (Acres),Durum Wheat,2802.0
4818015,Greenview No. 16,2016,Cropland (Acres),Durum Wheat,0.0
4818015,Greenview No. 16,2021,Cropland (Acres),Durum Wheat,0.0
4819006,Grande Prairie County No. 1,2006,Cropland (Acres),Durum Wheat,2752.0
4819006,Grande Prairie County No. 1,2011,Cropland (Acres),Durum Wheat,1351.0
4819006,Grande Prairie County No. 1,2016,Cropland (Acres),Durum Wheat,2781.0
4819006,Grande Prairie County No. 1,2021,Cropland (Acres),Durum Wheat,0.0
4812004,Bonnyville No. 87,2006,Cropland (Acres),Durum Wheat,0.0
4812004,Bonnyville No. 87,2011,Cropland (Acres),Durum Wheat,0.0
4812004,Bonnyville No. 87,2016,Cropland (Acres),Durum Wheat,1338.0
4812004,Bonnyville No. 87,2021,Cropland (Acres),Durum Wheat,2378.0
4812014,St. Paul County No. 19,2006,Cropland (Acres),Durum Wheat,0.0
4812014,St. Paul County No. 19,2011,Cropland (Acres),Durum Wheat,210.0
4812014,St. Paul County No. 19,2016,Cropland (Acres),Durum Wheat,2935.0
4812014,St. Paul County No. 19,2021,Cropland (Acres),Durum Wheat,0.0
4812022,Smoky Lake County,2006,Cropland (Acres),Durum Wheat,0.0
4812022,Smoky Lake County,2011,Cropland (Acres),Durum Wheat,385.0
4812022,Smoky Lake County,2016,Cropland (Acres),Durum Wheat,1447.0
4812022,Smoky Lake County,2021,Cropland (Acres),Durum Wheat,0.0
4819071,Peace No. 135,2006,Cropland (Acres),Durum Wheat,0.0
4819071,Peace No. 135,2011,Cropland (Acres),Durum Wheat,0.0
4819071,Peace No. 135,2016,Cropland (Acres),Durum Wheat,0.0
4819071,Peace No. 135,2021,Cropland (Acres),Durum Wheat,0.0
4815007,Crowsnest Pass,2006,Cropland (Acres),Durum Wheat,0.0
4815015,Bighorn No. 8,2006,Cropland (Acres),Durum Wheat,0.0
4815015,Bighorn No. 8,2011,Cropland (Acres),Durum Wheat,0.0
4815015,Bighorn No. 8,2016,Cropland (Acres),Durum Wheat,0.0
4815015,Bighorn No. 8,2021,Cropland (Acres),Durum Wheat,0.0
4815037,Improvement District No. 12 Jasper Park,2011,Cropland (Acres),Durum Wheat,0.0
4815037,Improvement District No. 12 Jasper Park,2016,Cropland (Acres),Durum Wheat,0.0
4815037,Improvement District No. 12 Jasper Park,2021,Cropland (Acres),Durum Wheat,0.0
4815045,Ranchland No. 66,2006,Cropland (Acres),Durum Wheat,0.0
4815045,Ranchland No. 66,2011,Cropland (Acres),Durum Wheat,0.0
4815045,Ranchland No. 66,2016,Cropland (Acres),Durum Wheat,0.0
4815045,Ranchland No. 66,2021,Cropland (Acres),Durum Wheat,0.0
4816037,Wood Buffalo,2016,Cropland (Acres),Durum Wheat,0.0
4816037,Wood Buffalo,2021,Cropland (Acres),Durum Wheat,0.0
4816051,Improvement District No. 24 Wood Buffalo,2016,Cropland (Acres),Durum Wheat,0.0
4816051,Improvement District No. 24 Wood Buffalo,2021,Cropland (Acres),Durum Wheat,0.0
4811012,Leduc County,2006,Cropland (Acres),Durum Wheat,740.0
4811012,Leduc County,2011,Cropland (Acres),Durum Wheat,1943.0
4811012,Leduc County,2016,Cropland (Acres),Durum Wheat,0.0
4811012,Leduc County,2021,Cropland (Acres),Durum Wheat,0.0
4811001,Wetaskiwin County No. 10,2006,Cropland (Acres),Durum Wheat,2950.0
4811001,Wetaskiwin County No. 10,2011,Cropland (Acres),Durum Wheat,0.0
4811001,Wetaskiwin County No. 10,2016,Cropland (Acres),Durum Wheat,3159.0
4811001,Wetaskiwin County No. 10,2021,Cropland (Acres),Durum Wheat,3769.0
4817076,Northern Lights County,2006,Cropland (Acres),Durum Wheat,0.0
4817076,Northern Lights County,2011,Cropland (Acres),Durum Wheat,0.0
4817076,Northern Lights County,2016,Cropland (Acres),Durum Wheat,0.0
4817076,Northern Lights County,2021,Cropland (Acres),Durum Wheat,0.0
4813036,Thorhild County,2006,Cropland (Acres),Durum Wheat,0.0
4813036,Thorhild County,2011,Cropland (Acres),Durum Wheat,470.0
4813036,Thorhild County,2016,Cropland (Acres),Durum Wheat,0.0
4813036,Thorhild County,2021,Cropland (Acres),Durum Wheat,0.0
4813044,Athabasca County,2006,Cropland (Acres),Durum Wheat,0.0
4813044,Athabasca County,2011,Cropland (Acres),Durum Wheat,0.0
4813044,Athabasca County,2016,Cropland (Acres),Durum Wheat,1177.0
4813044,Athabasca County,2021,Cropland (Acres),Durum Wheat,0.0
4817033,Lesser Slave River No.124,2006,Cropland (Acres),Durum Wheat,0.0
4817033,Lesser Slave River No.124,2011,Cropland (Acres),Durum Wheat,0.0
4817033,Lesser Slave River No.124,2016,Cropland (Acres),Durum Wheat,0.0
4817033,Lesser Slave River No.124,2021,Cropland (Acres),Durum Wheat,0.0
4810058,Lamont County,2006,Cropland (Acres),Durum Wheat,636.0
4810058,Lamont County,2011,Cropland (Acres),Durum Wheat,0.0
4810058,Lamont County,2016,Cropland (Acres),Durum Wheat,0.0
4810058,Lamont County,2021,Cropland (Acres),Durum Wheat,0.0
4810048,Two Hills County No. 21,2006,Cropland (Acres),Durum Wheat,0.0
4810048,Two Hills County No. 21,2011,Cropland (Acres),Durum Wheat,0.0
4810048,Two Hills County No. 21,2016,Cropland (Acres),Durum Wheat,0.0
4810048,Two Hills County No. 21,2021,Cropland (Acres),Durum Wheat,3763.0
4814003,Yellowhead County,2006,Cropland (Acres),Durum Wheat,0.0
4814003,Yellowhead County,2011,Cropland (Acres),Durum Wheat,0.0
4814003,Yellowhead County,2016,Cropland (Acres),Durum Wheat,0.0
4814003,Yellowhead County,2021,Cropland (Acres),Durum Wheat,0.0
