Municipality,Year,Concat,Sum_firesize,Count_fires
County of Wetaskiwin,2012,Athabasca County 2012,1037.4,1
Kananaskis Improvement District,2017,Mackenzie County 2017,1476.78,1
Lac La Biche County,2012,County of Grande Prairie 2012,1610.5,2
Mackenzie County,2013,County of Northern Lights 2013,1790.49,1
Mountain View County,2012,County of Northern Lights 2012,2755.3,2
Municipal District of Bighorn,2017,County of Grande Prairie 2017,2755.3,2
Municipal District of Bonnyville,2017,County of Northern Lights 2017,2755.3,2
Municipal District of Greenview,2013,Mountain View County 2013,2889.6,8
Municipal District of Lesser Slave River,2013,Municipal District of Bighorn 2013,2889.6,8
Municipal District of Opportunity,2016,Mountain View County 2016,2889.6,8
Municipal District of Pincher Creek No. 9,2016,Municipal District of Bighorn 2016,2889.6,8
Municipal District of Ranchland No. 66,2012,Municipal District of Bonnyville 2012,2889.6,23
Municipal District of Smoky River,2012,County of Wetaskiwin 2012,5233.09,2
Northern Sunrise County,2014,Kananaskis Improvement District 2014,5233.09,5
Ponoka County,2013,Municipal District of Opportunity 2013,5817.4,3
Saddle Hills County,2014,Municipal District of Opportunity 2014,5817.4,3
Wood Buffalo,2015,Municipal District of Opportunity 2015,5817.4,3
Woodlands County,2017,Municipal District of Opportunity 2017,5817.4,3
Yellowhead County,2015,Municipal District of Pincher Creek No. 9 2015,6918.65,5
Athabasca County,2013,County of Wetaskiwin 2013,8984.3,1
Big Lakes County,2013,Kananaskis Improvement District 2013,8984.3,1
Brazeau County,2013,Lac La Biche County 2013,8984.3,1
Census Division No. 9,2016,Clearwater County 2016,8984.3,1
Clear Hills County,2017,Kananaskis Improvement District 2017,8984.3,1
Clearwater County,2016,Lac La Biche County 2016,11564.6,1
County of Grande Prairie,2013,Clear Hills County 2013,13338.06,1
County of Northern Lights,2017,Municipal District of Ranchland No. 66 2017,17250.6,5
County of Wetaskiwin,2014,County of Northern Lights 2014,18189,0
Kananaskis Improvement District,2015,County of Grande Prairie 2015,18189,0
Lac La Biche County,2015,County of Northern Lights 2015,18189,0
Mackenzie County,2012,Yellowhead County 2012,19754.98,3
Mountain View County,2013,Yellowhead County 2013,19754.98,3
Municipal District of Bighorn,2014,Yellowhead County 2014,19754.98,3
Municipal District of Bonnyville,2015,Yellowhead County 2015,19754.98,3
Municipal District of Greenview,2016,Yellowhead County 2016,19754.98,3
Municipal District of Lesser Slave River,2017,Yellowhead County 2017,19754.98,3
Municipal District of Opportunity,2016,Municipal District of Bonnyville 2016,22061.8,8
Municipal District of Pincher Creek No. 9,2013,Municipal District of Bonnyville 2013,22061.8,27
Municipal District of Ranchland No. 66,2014,Mountain View County 2014,22061.8,33
